category,blurp,imgrul,text,title,url,date
Analytics,Predictive analytics tools comb through your data to divine visions of your business future. Here’s an overview of the wide array of options available today.,https://images.idgesg.net/images/article/2019/09/prediction_predict-the-future_crystal-ball_hand-holding-crystal-ball_by-arthur-ogleznev-via-unsplash-100811997-large.jpg,"Somewhere along the way computers transformed from filing cabinets for data into crystal balls that foretell the future by examining that data to predict what might happen in a few seconds, a few days, maybe even a few years.Many of the tools for accomplishing this feat fall under the term “predictive analytics.” The term is a catch-all for algorithms developed over the years, from wildly different corners of statistics, artificial intelligence, machine learning and multidimensional mathematics. These tools emerged from the lab to populate corporate server farms and now they’re ready to guide business teams toward making the right decisions about allocating resources and reaping profits.The tools have two main roles, the more obvious of which is to peer into the sea of bits in the database and pluck out some vision for the future. They do this by supporting several good algorithms with various strategic approaches; some support dozens.The second role is less noticeable but often more time consuming. Preparing the data can be maddening because data is rarely as consistent or as clean as we need. If there are two files that need to be integrated, dates are often in differing formats using different time zones. Unifying challenges like these are easy. The more difficult ones involve missing fields or outliers that may be the result of an error — or could be an accurate omen that must be included in the data set. Removing mistakes while preserving the integrity of the data is a real challenge. All of the best tools offer good support for preparing the data and presenting the results.Many predictive analytics tools are brand extensions built by database developers and business analytics and reporting vendors, which have slowly merged traditional report generation with AI algorithms to produce tools that both summarize and offer predictions.",Top 15 tools for predictive analytics,https://www.cio.com/article/3566556/top-15-tools-for-predictive-analytics.html,2020-09-11
Analytics,Effectively managing supply chains has perhaps never been more important for organizations. The coronavirus pandemic has created significant market di,https://images.idgesg.net/images/article/2018/02/supply_chain_management_logistics_erp_enterprise_resource_planning_thinkstock_578796276-100749836-large.jpg,"Effectively managing supply chains has perhaps never been more important for organizations. The coronavirus pandemic has created significant market distruptions, shifting the way consumers and businesses purchase products and creating challenges for manufacturers to receive the materials they need to meet demand.Some organizations are finding that data analytics and related technologies such as artificial intelligence (AI) and machine learning hold the key to supply chain management excellence. Whether it’s a matter of ensuring supply chain integrity or navigating rapid growth and complexity, here is how several organizations are putting analytics to work to beneficial results.In 2013, NASA was directed by the U.S. Congress to improve its supply chain risk management processes, specifically as it relates to technology purchases of more than $800 million across IT and operational technology.Analytics has played a big role in helping the space agency comply with this initiative. Key has been the aeronautics and space research agency’s adoption of an AI-powered supply chain risk management tool from Interos to provide analytics and insight, says Kanitra Tyler, head of NASA’s Supply Chain Risk Management (SCRM) Service. “Our success with this tool ultimately led to our program becoming a shared service across NASA,” she says.",Analytics: Your supply chain’s competitive edge,https://www.cio.com/article/3573574/analytics-your-supply-chains-competitive-edge.html,2020-09-11
Analytics,"From powering customer-facing chatbots, to keeping track of contractual commitments, to making the most of meetings, natural language processing holds great potential to transform your business.",https://images.idgesg.net/images/article/2019/11/ai_artificial_intelligence_ml_machine_learning_abstract_face_by_kentoh_gettyimages_1042827860-100817767-large.jpg,"Recent improvements in As NLP becomes more accurate and more widely available, it has the potential to move from powering customer support chatbots on preset topics to handling qualitative, semi-structured and unstructured data. Finally delivering on “NLP breaks down words into their simplest form and identifies patterns, rules and relationships between them,” explains Walt Kristick, senior vice president of applied and advanced technology at apexanalytix. “It uses computer algorithms to parse and interpret written and spoken natural language to allow systems to learn and understand human languages.”NLP uses range from translation and language generation (for summaries, annotation, or even explaining other machine learning models), to classification and clustering, sentiment analysis and other information extraction. The simplest forms of NLP are already widely used, Kristick points out: spell-checking, suggested email and messaging responses, and virtual assistants such as Siri all use NLP, as do chatbots.“There is a growing demand for the ability to analyze and extract meaning for text and non-related data sources, especially in the healthcare and life sciences markets,” Kristick notes.",NLP poised to revolutionize the enterprise,https://www.cio.com/article/3566378/nlp-poised-to-revolutionize-the-enterprise.html,2020-09-11
Analytics,Many organizations are struggling to get business value from their analytics. Setting up analytics projects or an analytics organization is one thing ,https://images.idgesg.net/images/article/2020/02/data_analytics_risk_assessment_tracking_trends_graphs_by_ipopba_gettyimages-1150397416_2400x1600-100828857-large.jpg,"Many organizations are struggling to get business value from their analytics. Setting up analytics projects or an analytics organization is one thing but deriving value from analytics is another. And with the COVID-19 pandemic disrupting economies around the globe, companies will likely ""It's not about analytics. It's not even about insights. It's about impact. If you're not making an impact, you're wasting your time,"" says Mike Onders, chief data officer, divisional CIO, and head of enterprise architecture at Cleveland, Ohio-based KeyBank.Here, ruthless focus on business outcomes is key, as is the ability to rapidly prove analytics can have a business impact and then delivering results at scale.""We actually work backwards from specific business outcomes we're looking to achieve,"" says Shri Santhanam, executive vice president and general manager of global analytics and AI at Experian. ""Ultimately, ML [machine learning] and AI tend to be vehicles to get us to the ultimate goal, but really, what we talk about, what we share, what we drive with our customers is a better set of outcomes.""",Transforming analytics into business impact,https://www.cio.com/article/3572642/transforming-analytics-into-business-impact.html,2020-09-11
Analytics,"Strong data analytics is a digital business imperative — and it all begins with data governance, the right strategy and an emphasis on data-conscious culture. ",https://images.idgesg.net/images/article/2018/02/big_data_analytics_analysis_thinkstock_673266772-100749739-large.jpg,"Data and analytics remain top priorities for organizations in the digital era, with 37 percent of IT leaders saying that data analytics will drive the biggest chunk of their IT investments this year, ahead of security and risk management, according to CIO.com’s 2020 State of the CIO survey.And with that level of spending going toward analytics, the pressure is on to deliver results. Yet experts in this space say CIOs and their executive colleagues are falling short. “There are challenges in getting these initiatives across the goal line,” says Brad Fisher, a partner and the U.S. leader for data and analytics at KPMG.Following are four key areas that are hindering analytics success:",Why data analytics initiatives still fail,https://www.cio.com/article/3269012/why-data-analytics-initiatives-still-fail.html,2020-09-11
Analytics,Analytics has made itself indispensable for everything from business planning to infrastructure optimization. A set of five articles brings the broad benefits of data-derived insights to life. ,https://images.idgesg.net/images/article/2020/07/intro_ts_analytics__by-hakinmhan-getty-images_2400x1600-100851350-large.jpg,"The world bought into the idea of For decades, those armed with the At the same time, the ubiquity of analytics has given rise to the hottest specialized job on the planet: the data scientist. The multidisciplinary nature of this position leaves enterprises hunting for unicorns who know statistics, programming, probability, and very likely machine learning, not to mention whatever vertical expertise a company demands. The oracle-like status of the data scientist offers definitive proof of analytics' ascendency.Meanwhile, though the big data trend has cooled somewhat, big data analytics has permanently lodged itself in infrastructure, enabling engineers to process gargantuan log files to surface anomalies, inefficiencies, and vulnerabilities. And just about every company heavily invested in customer-facing applications now dumps terabytes of user clickstreams into the analytics hopper, enabling mass customization and UI tweaks that boost usability and revenue.To guide you on your own analytics journey, CIO, Computerworld, CSO, InfoWorld, and Network World have contributed five articles that examine today’s role of analytics in the enterprise through completely different lenses, from case studies to implementation recommendations.InfoWorld contributing editor Isaac Sacolick, a former CIO and CTO, kicks things off with a terrific primer entitled ""While Sacolick primarily focuses on the back end of analytics, Computerworld contributing writer Bob Violino trains his lens on the presentation layer in ""Leave it to CIO to highlight analytics' benefits on the ground. In ""Network World senior editor Michael Cooney homes in on a different type of special case in ""It's unlikely you'd write custom analytics code to monitor your SD-WAN deployment, but in many cases – particularly those that might involve a data scientist – the proprietary algorithms developed may be valuable trade secrets. That's what CSO contributing writer Stacey Collet addresses in ""In the age of analytics everywhere, that should be welcome news. Especially when augmented by machine learning, the insights derived from analytics will play an increasingly strategic role in steering your enterprise.",Insight everywhere: The state of analytics in 2020,https://www.cio.com/article/3566317/insight-everywhere-the-state-of-analytics-in-2020.html,2020-09-11
Analytics,IT leaders are already starting to reap the rewards promised by AI and machine learning -- and a recent survey reveals half are considering greater investment as we hit economic headwinds.,https://images.idgesg.net/images/article/2020/08/intro_ts_ai_ml_by-monsitj-getty-images_2400x1600-100853894-large.jpg,"By now most of us understand that, in our current era, artificial intelligence (AI) and its subset machine learning (ML) have little to do with human intelligence. AI/ML is all about recognizing patterns in data and automating discrete tasks, from algorithms that flag fraudulent financial transactions to chatbots that answer customer questions. And guess what? IT leaders appreciate the enormous potential.According to a A July Now’s the time to get your AI/ML strategy in shape. To that end, CIO, Computerworld, CSO, InfoWorld, and Network World have produced five articles that dissect the issues and provide meaningful recommendations.Although AI/ML will doubtless replace some jobs, Matthew Finnegan's Computerworld article, ""But effective AI/ML solutions come in many forms, as CIO's Clint Boulton recounts with a fresh batch of case studies, ""Contributor Neil Weinberg highlights a highly practical use of AI/ML with direct benefit to IT in ""ML in all its forms typically begins with finding patterns in large quantities of data. But in many instances, that data may be sensitive, as CSO contributor Maria Korlov reports in ""So where should you build your AI/ML solution? The public cloud providers offer highly attractive options, but you need to select carefully, argues Martin Heller, contributing editor for InfoWorld. In ""We're still generations away from any AI equivalent of human intelligence. In the meantime, AI/ML will progressively infiltrate almost every type of application, reducing drudgery and offering unprecedented capabilities. No wonder IT leaders believe it will have the greatest impact.",AI and machine learning: Powering the next-gen enterprise,https://www.cio.com/article/3570613/ai-and-machine-learning-powering-the-next-gen-enterprise.html,2020-09-11
Analytics,Self-service business intelligence has become the go-to tool for business decisions. Here’s how Qlik Sense and Tableau stack up on features and pricing.,https://images.idgesg.net/images/article/2018/02/big_data_analytics_analysis_thinkstock_673266772-100749739-large.jpg,"Business intelligence (BI) and analytics platforms are a staple of informatics for medium to large businesses. Visual-based data discovery has been a key component of BI since about 2004; this trend has moved the responsibility for analytics from IT to self-service by business analysts and managers, with support from data scientists and database administrators. The emphasis of BI has changed from generating monthly reports from the system of record, to interactively discovering and sharing trends, forecasts, and answers to business questions based on data from a variety of internal and external sources. Instead of needing months to make a decision, businesses that have adopted self-service visual data discovery can often decide on a course of action in a few days.How does one choose a self-service BI platform? Mostly, you want to find the platform that is the best fit for your company, both from the point of view of the users and from the point of view of the IT infrastructure.Does the BI platform match the skills of the people who will use it? Can your people learn and use it easily? Does it make analysts' jobs easier, or does it create more barriers than it destroys?Is it able to read all of your internal and external data sources? Can you easily clean and transform your data within the platform? Is the platform able to display all the charts you require? Can you share your analyses with anyone in the company, or only with licensed users?With these considerations in mind, let's examine (in alphabetical order) five market-leading BI platforms.",Qlik Sense vs. Tableau: Self-service analytics tools compared,https://www.cio.com/article/3569110/qlik-sense-vs-tableau-self-service-analytics-tools-compared.html,2020-09-11
Analytics,"Given its promise in driving business value, it’s no surprise that data analytics remains a top IT investment — but success is no guarantee.",https://images.idgesg.net/images/article/2019/11/man_with_umbrella_stands_waist-deep_in_water_as_rain_continues_to_fall_sadness_depression_failure_problems_disaster_recovery_by_gruizza_gettyimages-841211954_abstract_connections_by_stationary_traveller_gettyimages-804339826-100817799-large.jpg,"Data analytics can be enormously valuable for companies, providing deep insights into data that might not otherwise be surfaced.Because of this, data analytics continues to eat up a significant portion of IT budgets. Thirty-seven percent of IT leaders said analytics will drive the most IT investment at their companies this year, the highest single category, according to the But there are no guarantees that analytics investments will pay off. In fact, the discipline can be fraught with problems that can temporarily derail these projects or doom them to failure.Avoiding negative outcomes is within the grasp of any company that wants to exploit analytics — it just requires putting in the necessary preparation and work. Here are some steps that organizations can take to avoid data analytics disasters and disappointments.",6 tips for avoiding data analytics disaster,https://www.cio.com/article/3541012/6-tips-for-avoiding-data-analytics-disaster.html,2020-09-11
Analytics,Retailers looking to develop new customer experiences need to make artificial intelligence part of their digital transformation plans or risk falling further behind. ,https://images.idgesg.net/images/article/2018/02/fintech_shopping_retail_financial_transactions_thinkstock_828433478-100749753-large.jpg,"Before the coronavirus hit, consumer expectations were already changing and creating challenges in the retail industry. And CIOs, who historically had little to do with developing new customer experiences, were increasingly being tasked with driving innovation. To deliver Amazon-like here-and-now products and services and build brand loyalty, they are turning to artificial intelligence (AI) to improve the shopping experience for consumers both in stores and online. Of course, AI alone won’t transform retail but there are several key technologies that when married with AI can bring innovation to that industry. One is video analytics, which turns regular stores into intelligent stores that have visibility into consumer behavior for optimized merchandising. Retailers can leverage video for store analytics to enable things like heat maps that show where consumers are spending the most time in the store. That’s the kind of knowledge many retailers currently don’t have today.Intelligent stores require an assortment of applications for various use cases. Using video analytic software, retailers can build a distributed infrastructure for deploying multiple apps on the same server at each store. Video analytics can also be deployed for asset protection at self-checkout kiosks and to monitor employee theft. For an average retailer, shrinkage, or the loss of inventory, accounts for approximately 1.5 to 2 percent of revenue — a cost that can be reduced and added back into the bottom line with the help of AI.So, what does this look like in an actual store? Take a large retailer that has implemented an AI-powered asset protection solution at self-checkout kiosks, which can identify miss-scans and ticket switching. When someone tries to scan a bottle of wine with a bag of chips underneath, the app can recognize the product shape, lock the scanner, and notify store associates.",How AI is transforming retail,https://www.cio.com/article/3536829/how-ai-is-transforming-retail.html,2020-09-11
