category,blurp,imgrul,text,title,url,date
Cloud Computing,"With a high degree of executive coordination and synchronicity, Standard Chartered can run 500 technology projects in parallel, at pace, with scale an",https://images.idgesg.net/images/article/2020/08/michael-gorriz-standard-chartered-100854852-large.jpg,"With a high degree of executive coordination and synchronicity, Standard Chartered can run 500 technology projects in parallel, at pace, with scale and in rhythm. A multi-functioning and well-oiled machine perhaps, but for Singapore-based Michael Gorriz, four main developments are driving transformative change at the banking giant.As group CIO, the award-winning executive is kick-starting an era of innovation at the financial institution, dictated by changing market dynamics and underpinned by a multi-year cloud strategy. “We have taken a very thorough and profound approach to the cloud,” Gorriz told CIO ASEAN. “The first of our four main projects is centred around the harmonisation of our core banking system, in addition to creating a state-of-the-art payment system. We are also focusing on our customer interface within the context of mobile and internet banking, alongside enhancing our connection to corporate customers through APIs and open banking. These are major developments with hefty and solid application blocks which are all designed for the cloud. They can still run on-premises if necessary for regulatory reasons but these versions are made for the cloud and native cloud computing.”Aligned with digital transformation ambitions, Standard Chartered is moving ahead with a multi-cloud approach, ensuring that core banking and trading systems—in addition to virtual banking and banking as-a-service offerings—will be cloud-based by 2025, subject to regulatory approvals.The bank’s multi-year journey to cloud started with software-as-a-service (SaaS) on a large scale, specifically for back-end systems such as financial control and HR. For banking-related software, the business followed the path of infrastructure-as-a-service (IaaS)—supported by increased levels of security—to build a platform capable of running significant workloads on the cloud.“The banking industry has gone through a massive digital transformation and the recent global pandemic has set the stage for the transformation to accelerate, much faster than ever before,” Gorriz acknowledged. “The bank of the future is here and, if we are to stay in business, cloud adoption is clearly not just a ‘nice to have’. While our journey to be fully on the cloud will be a multi-year journey, I am convinced that cloud technology will be crucial to delivering our network, serving our customers, improving efficiencies and embracing new business opportunities.”",Why embracing the cloud is ‘non-negotiable’ for Standard Chartered,https://www.cio.com/article/3571930/why-embracing-the-cloud-is-non-negotiable-for-standard-chartered.html,2020-09-11
Cloud Computing,Looking for an edge in today’s IT job marketplace? Benchmark your cloud computing knowledge and skills with one or more of these highly regarded cloud computing certifications.,https://images.techhive.com/images/article/2017/02/thinkstockphotos-87585402-100707931-large.jpg,"Cloud computing is one of the most important investments in modern IT and it’s grown to become a top priority for all organizations. That means IT professionals with cloud skills are in high demand and certifications can help make you even more hirable by validating your cloud skills and expertise. And cloud certifications can go a long way in boosting your IT salary.The most popular cloud job roles are cloud architect and cloud engineer and the average salary for a cloud professional in North America is $138,320 per year, according to the Whether you’re just getting into cloud computing or you’re ready to take the next step in your IT career, there’s a certification that can help get you where you want to be. Here’s a roundup of the most valuable and sought-after cloud computing certifications for 2020, according to data from Global Knowledge. Salary and pay data for each certification comes from the Global Knowledge report unless otherwise noted.The Average salary:The Average salaryThe Average salary: The Average salary: The Average salary:The Average salary: The Average salary: The Average salary: The Average salary: The Average salary: ",The most valuable cloud computing certifications today,https://www.cio.com/article/3207553/the-most-valuable-cloud-computing-certifications-today.html,2020-09-11
Cloud Computing,Looking to certify your cloud skills or wondering if AWS certifications are worth it? Here’s a breakdown to help you find the right AWS certification for you.,https://images.idgesg.net/images/article/2019/02/checkmarks_checkboxes_stars_feedback_review_quality_inspection_certification_certify_by_ktsimage_gettyimages-1027686966_2400x1600-100788470-large.jpg,"Amazon Web Services (AWS) remains the most widely adopted cloud platform on the market used by companies such as Netflix, Apple, Slack and Adobe. And that makes AWS certifications among the most valuable certifications you can earn in IT. Three of the 10 highest-paying certifications in the U.S. are offered by AWS, and the average salary for an AWS-certified IT professional is $129,868, according to the 2019 Each AWS certification is designed to validate your skills and knowledge in AWS cloud technology, so the best preparation for each exam is hands-on experience. But you can also If you’re interested in certifying your cloud skills on the AWS platform, here’s a breakdown of each AWS certification offered by Amazon at the foundational, associate, professional and specialty levels.The It’s recommended that you have a basic understanding of IT services and how they work with AWS. You’ll also need at least six months of experience with AWS in any role, whether technical, managerial, sales, purchasing or financial. The foundational-level AWS certification exam is priced at $100.Amazon offers three associate level exams, each of which consists of a multiple-choice exam that lasts 130 minutes, with a cost of $150 per exam. You don’t need to earn associate-level certifications to move on to a professional-level credential, but you will want to make sure you choose the right exam for your experience level.The You’ll also be tested on your understanding of AWS global infrastructure, network technologies related to AWS, security features and tools, and best practices for building secure and reliable applications. It’s recommended to have at least one year of hands-on experience using AWS and designing cost-effective, fault-tolerant and scalable distributed systems on AWS.The It is recommended that you have experience with at least one programming language as well as an understanding of AWS services, the ability to use or interact with AWS services and proficiency writing code for serverless applications.The For those looking to get certified, it’s recommended that you have at least one year of experience monitoring and auditing systems; understand networking, virtualization and security concepts; and have hands-on experience with AWS CLI, SDK and API tools.Amazon’s professional-level AWS certifications are designed for cloud professionals with deeper AWS experience. Associate-level certification is not required, but make sure you review the requirements to ensure you choose the right certification for your skill level. The professional certification exams are multiple choice and take 180 minutes to complete. Each exam is priced at $300.The The Amazon offers several specialty certifications in specific skills such as security, machine learning and data analytics. Each specialty certification exam is priced at $300 and can be completed at a testing center or online, except for the database specialty certification which can only be taken at a testing center. Due to current restrictions with COVID-19, testing centers have been temporarily closed and in-person exams and recertifications will be rescheduled.",AWS certifications: Validate your skills with Amazon’s cloud,https://www.cio.com/article/3561608/aws-certifications-validate-your-skills-with-amazons-cloud.html,2020-09-11
Cloud Computing,"The coronavirus crisis has shaken up business as usual, with some IT strategies and tools rising to the occasion and others in line for a rethink or tough recovery post-pandemic.",https://images.techhive.com/images/article/2015/09/thinkstockphotos-87527773-100611895-large.jpg,"As opposed to, say, the travel or restaurant industries, the tech sector has weathered the most disruptive effects of the COVID-19 pandemic relatively well. But that doesn’t mean that business has gone smoothly as if nothing happened — or that trends haven’t accelerated or been disrupted by the crisis.While it’s a bit early to know whether shifts in usage and IT tactics will remain permanent, some corners of the computing business have clearly seen a boost, while others have fallen in use, suffered setbacks in the wake of lockdowns, or been called into question for the months ahead, even when workers return to the office. Here is a look at which technology categories and strategies have benefitted by the shifts caused by the COVID-19 crisis, and which are likely to be rethought post-pandemic.The big winner is easy to spot: Demand for video conferencing tools has skyrocketed meetings and classroom sessions have moved online. But it’s not just the few major platforms that are benefitting, as the virtual meeting boom has attracted satellite projects tuned for smaller niches. Zoom, for example, has an app marketplace with specialized extensions for industries such as ","14 technology winners and losers, post-COVID-19",https://www.cio.com/article/3561609/14-technology-winners-and-losers-post-covid-19.html,2020-09-11
Cloud Computing,"As the economy takes a turn and IT budget forecasts slip downward, it’s time to tighten up your technical stack — before the CFO comes calling.",https://images.idgesg.net/images/article/2020/05/trim-the-fat_scales_reduce_weight-loss_reduction_by-ronit-shakedvia-unsplash-100842919-large.jpg,"When times are good, the harvest is full, the granary bins are overflowing, and it’s easy for an enterprise to gorge freely. When times turn hard and revenue evaporates, well, it’s time to cut back by slicing out those wild expenditures and bold ideas that once made so much sense. It’s not an easy or pleasant task, but if it’s done carefully, the result can be a nimble and efficient organization ready to sail on into the future.Here are 11 not-so-obvious places to look for fat to cut from IT budgets before the CFO comes calling.Does your website include extra data just to make it a bit more useful? Some sites like to roll in stock market quotes, weather forecasts or sports scores to make the experience a bit richer. Others include teasers like, “This hotel has been booked 18 times in the last 47 minutes.”Clever bits of data and flashy displays are expected in good times — and can sometimes even increase revenue a smidge. But in lean times, they’re an easy target to save money, especially as these “enhancements” are usually supported by a separate microservice running in its own pod. There’s often a frequent background call to an information source or API that charges a subscription. These extra features may make your website more sophisticated, but if the extra fields are just gloss or fun, well, the cost of the data feed, the extra server time and the software maintenance overhead are easy to cut.",11 ways to cut hidden fat from your IT budget,https://www.cio.com/article/3545270/11-ways-to-cut-hidden-fat-from-your-it-budget.html,2020-09-11
Cloud Computing,"Oracle Analytics for Cloud HCM offers self-service analytics capabilities to HR executives, analysts, and line-of-business leaders.",https://images.idgesg.net/images/article/2020/02/oracle-100833610-large.jpg,"Aiming to help organizations derive insight from workforce analytics, Oracle on Tuesday unveiled Oracle Analytics for Cloud HCM.""Companies have a lot of analytics they want to do about their people and their finances, and typically to do that they've got to move their data left and right, it's not integrated with their processes, it's not integrated with their back-office applications,"" says Bruno Aziza, group vice president of AI and Data Analytics Cloud at Oracle.Oracle Analytics for Cloud HCM is Oracle's answer. Its self-service analytics capabilities are intended to provide HR executives, analysts, and line-of-business leaders with insight into workforce composition, manager performance, span of control, diversity, turnover/retention, comparison ratio analysis, and top talent analysis. The offering, part of the Oracle Analytics for Fusion Applications suite, is intended to work hand-in-glove with Oracle Cloud ERP, giving insight into a broad swathe of back-office functions.""There's a lot of work these HR folks have to do in order to work with our data and we're giving them an out-of-the-box solution that just provides them with pre-packaged content, and it just works with ERP,"" Aziza says.According to research firm Gartner, only 21 percent of HR leaders currently believe their organizations are effective at using talent data to inform business decisions. Gartner says 70 percent of organizations expect to spend more on talent analytics over the next several years.Prior to the coronavirus pandemic, workforce analytics was responsible for about $600 million annually in software spending worldwide, according to research firm IDC.“No doubt annual spending will likely come down for 2020, but we don’t have figures yet,” says Lisa Rowan, research vice president, HR, talent, and learning strategies, at IDC.Currently, most workforce analytics comes from embedded capabilities in human capital management applications themselves. Rowan points to best-of-breed players such as Visier and Qualtrics, as well as embedded capabilities from players such as Workday and Cornerstone.Oracle Analytics for Cloud HCM features a cross-functional data model that sits within the Oracle Autonomous Data Warehouse. A KPI and dashboard library offers more than 50 HR KPIs, dashboards, and reports for HR metrics. Some of the pre-built KPIs include:""Imagine the scenario where you have some finance data that tells you've got P&L problems,"" Aziza says. ""The source of that problem is related to your top performers not performing anymore and there's some training that can make them better. The whole workflow can be run though Oracle Analytics, all the way to feeding back into the application and rolling these people into training to get better.""Ultimately, Oracle sees the new offering fostering closer collaboration between HR and other key business units such as finance. While sales and marketing analytics have gotten much of the attention in the past several decades, HR and finance departments need analytic insight just as badly but haven't been well served, Aziza says.""There's a lot of demand in doing analytics in sales, but the business-critical demand, where people are kind of in the dark, is often finance and HR,"" Aziza says. ""That's the oxygen of an organization.""These two areas also have unique data concerns. Employee data, for instance, needs to be kept in a highly secure environment, while finance data must be accurate. The move also underscores Oracle's ongoing focus on its applications’ core domains, which includes financial operations, sales, and HR. Aziza says analytics could also be performed on data generated by non-Oracle applications that run on the Oracle Autonomous Database, integrating and connecting analytics to application workflows.“Integration with other operational applications is critical,” says IDC’s Rowan. “Typically, it is critical that the workforce analytics platform be tightly integrated with the financial system and sales systems. For example, to understand sales performance by salesperson, you need to integrate the analytics tool with the sales tool.”",Oracle takes aim at workforce analytics with new HCM offering,https://www.cio.com/article/3543234/oracle-takes-aim-at-workforce-analytics-with-new-hcm-offering.html,2020-09-11
Cloud Computing,"The largest nation in Southeast Asia, Indonesia is embracing cloud at speed and scale. Following the launch of Google Cloud Platform in Jakarta, leading technology executives from XL Axiata, Amar Bank and Sequis document their...",https://images.idgesg.net/images/article/2020/06/indonesia-cloud-interviews-100849883-large.jpg,"In housing the fourth-largest population in the world—estimated at more than 270 million —a Such progress is already underway with more than Given the importance of the cloud and its greater availability in Indonesia, CIO ASEAN interviewed three Indonesian technology leaders on how they are taking advantage of the cloud.As one of the leading telecommunications providers in Indonesia—drawing on more than 30 years of credibility and an expanding base of customers and employees—transformation at XL Axiata is no small feat.The task of turning a ship the size of the Jakarta-headquartered organisation is the primary responsibility of Yessie D Yosetya as chief information and digital officer. With a target to move 70 per cent of workloads to the cloud within the next three years, Yosetya supercharged efforts by deploying Anthos to “automate, manage and scale workloads” across “XL Axiata is committed to the modernisation of our infrastructure to get more business agility and increase application deployment velocity,” Yosetya said. “Anthos was a natural fit as it lets us adopt containers while letting Google, a leader in Kubernetes, manage our container infrastructure for us.”AnthosBy migrating its microservices platform to Google Cloud—in addition to bringing Anthos’s Plans are also underway to implement Google Cloud’s data analytics platform to enhance customer experience levels through data and artificial intelligence (AI) technologies.One immediate beneficiary of the increased cloud focus in Indonesia is Amar Bank, evident through the unveiling of the country’s first digital-only bank in Senyumku. Meaning ‘my smile’ in Indonesia’s Bahasa language, the offering will become the first local bank to be deployed via the cloud, with GCP as the host platform.“Senyumku is powered by AI, provides intelligence and nudges users to enable increased savings,” said Vishal Tulsian, president director of Amar Bank. “This requires the app to be highly responsive to the dynamic behaviour of customers. In the future, we plan to extensively use Google Cloud’s AI powered services to provide a micro-customised banking experience to our customers.”The fintech institution—which is majority owned by Singapore-based Tolaram Group —leverages Google Cloud technologies organisation-wide, spanning Google Kubernetes Engine (GKE), Stackdriver and BigQuery, in addition to big data, AI and machine learning capabilities.“In terms of technology, we are on track to achieve continuous digital transformation to fulfil our customer needs and offer an outstanding customer experience,” Tulsian told CIO ASEAN. “We are committed to supporting financial inclusion in Indonesia through technology as we believe it should bring positive social impact in the society.”Central to such efforts is Tunaiku—meaning ‘my cash’ in Bahasa—which launched as a fintech online leading product aligned to the company’s mantra of “acting like a fintech but thinking like a bank”.“To lead digital transformation, flexibility, scalability and security of the whole IT architecture is of utmost importance,” Tulsian said. “This is possible only through cloud solutions.”In operating as a licensed commercial bank, and as per Indonesian banking regulations, Amar Bank cannot place solutions off-shore or outside of in-country data centres or cloud providers. For Tulsian, the regional launch of GCP now allows the business to capitalise on the local potential of “scalability, security and in-built AI”.“GKE allows us to manage and scale our services easily and in a very cost-effective way,” he explained. “Google Cloud’s data analytics and AI solutions are also scalable and are key to providing a better customer experience solution.”Speaking as chief digital officer of Sequis—a Jakarta-based life insurance specialist—Marlin Sugama acknowledged that irrespective of size or sector, businesses are moving at pace to embrace the cloud across Indonesia. “The cloud has transformed many industry sectors with its ease of deployment, resourcefulness and flexibility, and the insurance industry is no different,” Sugama told CIO ASEAN. “Sequis acknowledges the significance of the cloud and understands the need to adopt it.”In spearheading digital efforts within the business, Sugama said the cloud is widely accepted as the most efficient and effective way for the company, customers and brokers to connect and collaborate on the go. “Sequis is not the only insurance company in Indonesia that acknowledges the significance of the cloud; in fact, the whole insurance industry does,” added Sugama, while also referencing security concerns due to the transactional and financial nature of the industry.Through GCP, Sequis is sharing risk for storage, maintenance and security elements of IT infrastructure, leveraging Google Cloud service-level agreements in the process. In addition to optimising risk, Sugama cited cost efficiencies, access to new technology standards, enhanced IT management and improved scalability as key factors in migrating workloads to the cloud.“GCP offers an environment to adopt the latest digital development trends by offering a new edge of extreme agility, security and resiliency,” he said. “This includes rapid deployment and Similar to Amar Bank, as a financial institution operating in Indonesia, Sequis is bound by the local regulations of Otoritas Jasa Keuangan (OJK), otherwise known as the Financial Services Authority. “Through GCP launching in Indonesia, we have a fully transparent and proactive engagement with the cloud as required by OJK,” Sugama added. “Through this process of collaboration, GCP gives the opportunity for Sequis to move to the cloud in a way that meets the highest compliance, risk and security standards.”",Inside Indonesia’s cloud awakening,https://www.cio.com/article/3563923/inside-indonesia-s-cloud-awakening.html,2020-09-11
Cloud Computing,"To succeed in transitioning to the cloud, CIOs are re-inventing their IT teams to be agile and cross-functional, equipped with new skills, new roles, and a highly adaptive mindset.",https://images.idgesg.net/images/article/2020/06/cio_ts_cloud__by-ivanastar-getty-and-sam-schooler-via-unsplash-100847819-large.jpg,"Paul Ryan stepped into the CTO post at OpenX in 2017 and found an IT department in need of an overhaul.OpenX, a technology company that makes a programmatic advertising platform, was still 100 percent on-prem. It had five data centers holding 45,000 servers and an IT team organized around the legacy skills needed to maintain that conventional technology stack.“There was a vast amount of resources keeping this physical infrastructure up to date, but in this digital age it’s not a value-add activity; there’s no value in maintaining physical servers on-prem,” Ryan says.Ryan put together an aggressive plan to move to the cloud in 2019, opting for software-as-a-service solutions in some cases and Google Cloud Platform for the remainder. It took Ryan and his team just seven months to fully migrate to the cloud, close the data centers and sell the old servers.That, though, was only part of the transformation, Ryan says. Moving to the cloud also meant retooling his IT department — an equally significant task that required retraining, re-organizing, reassigning and even trimming his team so that they were optimized for the new environment.",Reskilling IT for the cloud,https://www.cio.com/article/3561249/reskilling-it-for-the-cloud.html,2020-09-11
Cloud Computing,"How can enterprises handle the complexity of multiple clouds — and reap unprecedented benefits? In a series of virtual roundtables, 30 IT leaders articulated the challenges and delivered insightful recommendations.",https://images.idgesg.net/images/article/2020/01/cso_nw_individual_cloud_instances_personal_clouds_by_gremlin_gettyimages-940308630_2400x1600-100827408-large.jpg,"In June 2020, CIO held its first CIO Think Tank, a series of virtual roundtables that brought together 30 IT leaders to unpack one of the most important issues in enterprise technology today: managing multiple clouds. The roundtables also featured IDC Research Director Deepak Mohan, IDG B2B Editor-in-Chief Eric Knorr, and cloud executives Deepak Patil and Bradd Lewis from Dell Technologies.The objective of these discussions was to identify the key challenges associated with multi-cloud management and to offer a roadmap for IT leadership — as well as the technology industry — to overcome those obstacles. All participants drew on their own experience and knowledge to describe strategic and tactical approaches to selecting, provisioning, and maintaining multiple clouds for maximum business and IT benefit.Multi-cloud is so new and evolving so quickly that the panel participants were not in universal agreement about its definition. Yet a consensus emerged: Multi-cloud has evolved to embrace not just multiple public IaaS (infrastructure as a service) and PaaS (platform as a service) clouds, but also private, on-premises clouds. The only substantive disagreement was whether SaaS (software a service) should also be included; most thought it should be.All 30 participating IT leaders were in the financial industry, where security, availability, and regulatory compliance are paramount. With the intent of providing guidance amid constant cloud flux, this report captures and consolidates the thinking of forward-looking IT leaders in a complex multi-cloud world.",CIO Think Tank: Setting the multi-cloud agenda,https://www.cio.com/article/3569471/cio-think-tank-setting-the-multi-cloud-agenda.html,2020-09-11
Cloud Computing,The Indian IT services giant is accelerating its move to S/4HANA as it prepares to migrate workloads to the cloud,https://images.idgesg.net/images/article/2020/07/google_cloud_logo_via_google_stock_by_thinkstock_1200x800-100851731-large.jpg,"Indian IT services giant Wipro is planning to upgrade its core SAP ERP system to S/4HANA and migrate the workloads to Google Cloud Platform.It’s part of Wipro’s internal transformation program, Project Quantum, through which the company wants to bring simplicity, velocity and visibility to the way it works, said Wipro president and COO Bhanumurthy B.M.“We are upgrading our entire The move will be a demonstration to potential customers of Wipro’s SAP cloud migration capabilities, and a key step in its transformation of internal systems serving its 180,000 employees.David McIntire, research director at analyst firm NelsonHall, said it will allow Wipro to say to potential customers, ‘’We’ve done this ourselves; we know where the big rocks are buried,” and to develop reusable assets in a relatively low-risk environment: “You’re never going to have a friendlier client than yourself.”For Google, it’s a valuable customer win in the SAP hosting market space as it battles Amazon Web Services’ far greater cloud market share and the entrenched position of Microsoft’s Azure as SAP’s preferred cloud partner.Wipro and Google have been building their SAP S/4HANA capabilities in recent years.Rob Enslin, Google Cloud’s president of global customer operations since April 2019, previously spent 27 years at SAP, most recently as president of its Cloud Business Group.Google has already moved on-premises S/4HANA environments into its cloud for a number of customers. A simple lift-and-shift can be done in as little as six weeks, Enslin said, although it may take up to four months.“We do this with Wipro, we do it very securely, very fast,” he said.Bhanumurthy said Wipro has developed tools to help their joint customers simplify the migration of workloads to Google Cloud.“We have built toolsets that customers can leverage to take their SAP workloads to Google Cloud,” he said. “This is not just about a technical migration of the product from location A to location B. It has to focus on business first, and it has to be design led. We will help the customer reimagine their processes first.”“The first proof of the pudding is our own internal use of the frameworks that we have built already here,” Bhanumurthy said.",Wipro to run its business on SAP in Google’s cloud,https://www.cio.com/article/3568491/wipro-to-run-its-business-on-sap-in-google-s-cloud.html,2020-09-11
