title,blurp,text,url
Julia vs. Python: Which is best for data science?,"Python has turned into a data science and machine learning mainstay, while Julia was built from the ground up to do the job","Among the many use cases Python covers, data analytics has become perhaps the biggest and most significant. The Python ecosystem is loaded with libraries, tools, and applications that make the work of scientific computing and data analysis fast and convenient.But for the developers behind Created in 2009 by a four-person team and unveiled to the public in 2012, Julia is meant to address the shortcomings in Python and other languages and applications used for scientific computing and data processing. “We are greedy,” they wrote. They wanted more: Here are some of the ways Julia implements those aspirations:Julia was designed from the start for scientific and numerical computation. Thus it’s no surprise that Julia has many features advantageous for such use cases:Although Julia is purpose-built for data science, whereas Python has more or less evolved into the role, Python offers some compelling advantages to the data scientist. Some of the reasons “general purpose” Python may be the better choice for data science work:",https://www.infoworld.com/article/3241107/julia-vs-python-which-is-best-for-data-science.html
Working with the Azure Kinect Developer Kit,Building applications on top of the Kinect depth sensor,"Microsoft announced Azure Kinect is a direct descendent of the second-generation Kinect modules that shipped with the Xbox One, but instead of providing real-world inputs for gaming, it’s targeted at enterprise users and applications. Intended to work with Azure’s Cognitive Services, the first Azure Kinect developer kit started shipping at the end of 2019 in the United States, adding several other countries in early 2020.The $399 Azure Kinect Developer Kit is a small white unit with two camera lenses, one for a wide-angle RGB camera and one for the Kinect depth sensor, and an array of microphones. It has an orientation sensor, allowing you to use the camera to build complex 3-D images of environments, ready for use in mixed reality. You can chain multiple devices together for quick 3-D scans or to provide coverage of an entire room, using the orientation sensor to help understand device position.Along with the camera unit, you get a power supply, an Allen key to remove the chaining ports cover, and a USB cable to connect to a development PC. I’d recommend getting a desktop tripod or another type of mount, as the bundled plastic stand is rather small and doesn’t work with most desks or monitors. There’s no software in the box, only Before you get started, you should update the device firmware. This ships with the SDK and includes a command line installation tool. When you run the updater it first checks the current firmware state before installing camera and device firmware and then rebooting. Once the camera has rebooted, use the same tool to check that the update has installed successfully. If there’s a problem with an install you can use the camera’s hardware reset (hidden under the tripod mount) to restore the original factory image.With the SDK installedIt’s a good idea to spend some time playing with Microsoft provides The Azure Kinect Developer Kit only delivers streaming data, so applications need to configure the data rate in frames per second, along with image color formats and resolutions. Once you’ve created a configuration object you can open a connection using your configuration object, ready to stream data. When you’re finished reading a data stream, stop and close the device.Images are captured in a capture objectA similar process gives you data from Although the Azure Kinect hardware captures a lot of data, the SDK functions help transform it into a usable form; for example, adding depth data to an RGB image to produce RGB-D images that are transformed to the viewpoint of the RGB camera (and vice versa). As the two sensors are off-set, this requires warping an image mesh to merge the two cameras’ viewpoints, using your PC’s GPU. Another transform generates a point cloud, allowing you to get depth data for each pixel in your capture. One useful option in the SDK is the ability to The original Kinect hardware introduced body tracking, with a skeletal model that could be used to quickly evaluate posture and gestures. That same approach continues in the The Body Tracking SDK builds on the Azure Kinect SDK, using it to configure and connect to a device. Captured image data is processed by the tracker, Azure’s Cognitive Services are a powerful tool for processing data, and the addition of Azure Kinect makes it possible to use them in a wide range of industrial and enterprise scenarios. With a focus on workplace 3-D image recognition, Microsoft is attempting to show how image recognition can be used to reduce risk and improve safety. There’s even the option of using ",https://www.infoworld.com/article/3562738/working-with-the-azure-kinect-developer-kit.html
3 ways to apply agile to data science and dataops,"Take an agile approach to dashboards, machine learning models, cleansing data sources, and data governance","Just about every organization is trying to become more data-driven, hoping to leverage data visualizations, analytics, and machine learning for competitive advantages. Providing actionable insights through analytics requires a strong Delivering dataops, analytics, and governance is a significant scope that requires aligning stakeholders on priorities, implementing multiple technologies, and gathering people with diverse backgrounds and skills. Agile methodologies can also help data and analytics teams capture and process feedback from customers, stakeholders, and end-users. Feedback should drive data visualization improvements, machine learning model recalibrations, data quality increases, and data governance compliance.  Applying agile methodologies to the analytics and machine learning lifecycle is a significant opportunity, but it requires redefining some terms and concepts. For example:An agile data science team is likely to have several types of work. Here are three primary ones that should fill backlogs and sprint commitments.Data science teams should conceive dashboards to help end-users answer questions. For example, a sales dashboard may answer the question, “What sales territories have seen the most sales activity by rep during the last 90 days?” A dashboard for agile software development teams may answer, “Over the last three releases, how productive has the team been delivering features, addressing technical debt, and resolving production defects?”Agile user stories should address three questionsIt then helps when stakeholders and end-users provide a hypothesis to an answer and how they intend to make the results actionable. How insights become actionable and their business impacts help answer the third question (why is the problem important) that agile user stories should address.The first version of a Tableau or Power BI dashboard should be a “minimal viable dashboard” that’s good enough to share with end-users to get feedback. Users should let the data science team know how well the dashboard addresses their questions and how to improve. The analytics product owner should put these enhancements on the backlog and consider prioritizing them in future sprints.The process of developing analytical and machine learning models includes segmenting and tagging data, feature extraction, and running data sets through multiple algorithms and configurations. Agile data science teams might record agile user stories for prepping data for use in model development and then creating separate stories for each experiment. The transparency helps teams review the results from experiments, decide on the next priorities, and discuss whether approaches are converging on beneficial results.There are likely separate user stories to move models from the lab into production environments. These stories are Once models are in production, the data science team has responsibilities to maintain them. As new data comes in, models may drift off target and require recalibration or re-engineering with updated data sets. Advanced machine learning teams from companies like Twitter and Facebook Agile data science teams should always seek out new data sources to integrate and enrich their strategic data warehouses and data lakes. One important example is Analyst owners should fill agile backlogs with story cards to research new data sources, validate sample data sets, and integrate prioritized ones into the primary data repositories. When agile teams integrate new data sources, the teams should consider automating the data integration, implementing data validation and quality rules, and linking data with master data sources.Julien Sauvage, vice president of product marketing at The data science team should also capture and prioritize Just like there isn’t a quick fix to address technical debt, agile data science groups should prioritize and address data debt iteratively. As the analytics owner adds user stories for delivering analytics, the team should review and ask what underlying data debt must be itemized on the backlog and prioritized.The examples I shared all help data science teams improve data quality and deliver tools for leveraging analytics in decision making, products, and services.In a proactive data governance program, issues around data policy, privacy, and security get prioritized and addressed in parallel to the work to deliver and improve data visualizations, analytics, machine learning, and dataops. Sometimes data governance work falls under the scope of data science teams, but more often, a separate group or function is responsible for data governance.Organizations have growing competitive needs around analytics and data governance regulations, compliance, and evolving best practices. Applying agile methodologies provides organizations with a well-established structure, process, and tools to prioritize, plan, and deliver data-driven impacts.",https://www.infoworld.com/article/3562346/3-ways-to-apply-agile-to-data-science-and-dataops.html
Quantum AI is still years from enterprise prime time,Quantum computing’s greatest potential for widespread adoption during this decade is in  artificial intelligence ,"Quantum computing’s potential to revolutionize AI depends on growth of a developer ecosystem in which suitable tools, skills, and platforms are in abundance. To be considered ready for enterprise production deployment, the quantum AI industry would have to, at the very least, reach the following key milestones:These milestones are all still at least a few years in the future. What follows is an analysis of the quantum AI industry’s maturity at the present time.Quantum AI executes ML (machine learning), DL (deep learning), and other data-driven AI algorithms reasonably well.As an approach, quantum AI has moved well beyond the proof-of-concept stage. However, that’s not the same as being able to claim that quantum approaches are superior to classical approaches for executing the matrix operations upon which AI’s inferencing and training workloads depend.Where AI is concerned, the key criterion is whether quantum platforms can accelerate ML and DL workloads faster than computers built entirely on classical von Neumann architectures. So far there is no specific AI application that a quantum computer can perform better than any classical alternative. For us to declare quantum AI a mature enterprise technology, there would need to be at least a few AI applications for which it offers a clear advantage—speed, accuracy, efficiency—over classical approaches to processing these workloads.Nevertheless, pioneers of quantum AI have aligned its functional processing algorithms with the mathematical properties of quantum computing architectures. Currently, the chief algorithmic approaches for quantum AI include:Leveraging these techniques, some current AI implementations use quantum platforms as coprocessors on select calculation workloads, such as autoencoders, GANs (generative adversarial networks), and reinforcement learning agents.As quantum AI matures, we should expect that these and other algorithmic approaches will show a clear advantage when applied to AI But even as quantum libraries, platforms, and tools prove themselves out for these specific challenges, they will still rely on classical AI algorithms and functions within end-to-end machine learning pipelines.For quantum AI to mature into a robust enterprise technology, there will need to be a dominant framework for developing, training, and deploying these applications. Google’s TensorFlow Quantum brings support for a wide range of quantum computing platforms into one of the dominant modeling frameworks used by today’s AI professionals. Developed by Google’s X R&D unit, it enables data scientists to use Python code to develop quantum ML and DL models through standard Keras functions. It also provides a library of quantum circuit simulators and quantum computing primitives that are compatible with existing TensorFlow APIs.Developers can use TensorFlow Quantum for supervised learning on such AI use cases as quantum classification, quantum control, and quantum approximate optimization. They can execute advanced quantum learning tasks such as meta-learning, Hamiltonian learning, and sampling thermal states. They can use the framework to train hybrid quantum/classical models to handle both the discriminative and generative workloads at the heart of the GANs used in deep fakes, 3D printing, and other advanced AI applications.Recognizing that quantum computing is not yet mature enough to process the full range of AI workloads with sufficient accuracy, Google designed the framework to support the many AI use cases with one foot in traditional computing architectures. TensorFlow Quantum enables developers to rapidly prototype ML and DL models that hybridize the execution of quantum and classic processors in parallel on learning tasks. Using the tool, developers can build both classical and quantum datasets, with the classical data natively processed by TensorFlow and the quantum extensions processing quantum data, which consists of both quantum circuits and quantum operators.Google designed TensorFlow Quantum to support advanced research into alternative quantum computing architectures and algorithms for processing ML models. This makes the new offering suitable for computer scientists who are experimenting with different quantum and hybrid processing architectures optimized for ML workloads.To this end, TensorFlow Quantum incorporates In addition to providing a full AI software stack into which quantum processing can now be hybridized, Google is looking to expand the range of more traditional chip architectures on which TensorFlow Quantum can simulate quantum ML. Google also announced plans to expand the range of custom quantum-simulation hardware platforms supported by the tool to include graphics processing units from various vendors as well as its own Tensor Processing Unit AI-accelerator hardware platforms.Google’s latest announcement lands in a fast-moving but still immature quantum computing marketplace. By extending the most popular open source AI development framework, Google will almost certainly catalyze use of TensorFlow Quantum in a wide range of AI-related initiatives.However, TensorFlow Quantum comes into a market that already has several open source quantum-AI development and training tools. Unlike Google’s offering, these rival quantum AI tools come as parts of larger packages of development environments, cloud services, and consulting for standing up full working applications. Here are three full-stack quantum AI offerings:TensorFlow Quantum’s adoption depends on the extent to which these and other quantum AI full-stack vendors incorporate it into their solution portfolios. That seems likely, given the extent to which all these cloud vendors already support TensorFlow in their respective AI stacks.TensorFlow Quantum won’t necessarily have the quantum AI SDK field all to itself going forward. Other open source AI frameworks—most notably, the Facebook-developed PyTorch—are contending with TensorFlow for the hearts and minds of working data scientists. One expects that rival framework to be extended with quantum AI libraries and tools during the coming 12 to 18 months.We can catch a glimpse of the emerging multitool quantum AI industry by considering a pioneering vendor in this regard. Xanadu’s Launched in November 2018, PennyLane is a cross-platform Python library for quantum ML, automatic differentiation, and optimization of hybrid quantum-classical computing platforms. PennyLane enables rapid prototyping and optimization of quantum circuits using existing AI tools, including TensorFlow, PyTorch, and NumPy. It is device-independent, enabling the same quantum circuit model to be run on different software and hardware back ends, including As killer apps and open source frameworks mature, they are sure to catalyze a robust ecosystem of skilled quantum-AI developers who are doing innovative work driving this technology into everyday applications.Increasingly, we’re seeing the growth of a developer ecosystem for quantum AI. Each of the major quantum AI cloud vendors (Google, Microsoft, Amazon Web Services, and IBM) is investing heavily in enlarging the developer community. Vendor initiatives in this regard include the following:",https://www.infoworld.com/article/3546010/quantum-ai-is-still-years-from-enterprise-prime-time.html
Data science during COVID-19: Some reassembly required,"Most likely, the assumptions behind your data science model or the patterns in your data did not survive the coronavirus pandemic. Here’s how to address the challenges of model drift","The enormous impact of the COVID-19 pandemic is obvious. What many still haven’t realized, however, is that the impact on ongoing data science production setups has been dramatic, too. Many of the models used for segmentation or forecasting started to fail when traffic and shopping patterns changed, supply chains were interrupted, and borders were locked down.In short, when people’s behavior changes fundamentally, data science models based on prior behavior patterns will struggle to keep up. Sometimes, data science systems adapt reasonably quickly when the new data starts to represent the new reality. In other cases, the new reality is so fundamentally different that the new data is not sufficient to train a new system. Or worse, the base assumptions built into the system just don’t hold anymore, so the entire process from model creation to production deployment must be revisited.This post describes different scenarios and a few examples of what happens when old data becomes completely outdated, base assumptions are no longer valid, or patterns in the overall system change. I then highlight some of the challenges data science teams face when updating their production system and conclude with a set of recommendations for a robust and future-proof data science setup.The most dramatic scenario is a complete change of the underlying system — one that not only requires an update of the data science process but also a revision of the assumptions that went into its design in the first place. This requires a full new data science creation and productionization cycle: understanding and incorporating business knowledge, exploring data sources (possibly to replace data that doesn’t exist anymore), and selecting and fine-tuning suitable models. Examples include traffic predictions (especially near suddenly closed borders), shopping behavior under more or less stringent lockdowns, and healthcare-related supply chains.A subset of the above is the case where the availability of the data has changed. An illustrative example here is weather predictions, where quite a bit of data is collected by commercial passenger aircraft that are equipped with additional sensors. With the grounding of those aircraft, the volume of available data has been drastically reduced. Because base assumptions about weather systems remain the same (ignoring for a moment that changes in pollution and energy consumption may affect the weather as well) “only” a retraining of the existing models may be sufficient. However, if the missing data represents a significant portion of the information that went into model construction, the data science team would be wise to rerun the model selection and optimization process as well.In many other cases, the base assumptions remain the same. For example, recommendation engines will still work very much the same, but some of the dependencies extracted from the data will change. This is not necessarily very different from, say, a new bestseller entering the charts, but the speed and magnitude of change may be far bigger — as we saw with the sudden spike in demand for health-related supplies. If the data science process has been designed flexibly enough, its built-in change detection mechanism should quickly identify the shift and trigger a retraining of the underlying rules. Of course, that presupposes that change detection was in fact built-in and that the retrained system achieves sufficient quality levels.This brief list is not complete without stressing that many data science systems will continue to work just as they always have. Predictive maintenance is a good example. As long as the usage patterns stay the same, engines will continue to fail in exactly the same ways as before. The important question for the data science team is: Are you sure? Is your performance monitoring setup thorough enough that you can be sure you are not losing quality? Do you even know when the performance of your data science system changes?As noted in the first two impact scenarios above, change to your data science system could happen abruptly (when borders are closed from one day to the next, for example) or only gradually over time. Some of the bigger economic impacts will become apparent in customer behavior only over time. For example, in the case of a SaaS business, customers may not cancel their subscriptions overnight but over coming months.One most often encounters two types of production data science setups. There are the older systems that were built, deployed, and have been running for years without any further refinements, and then there are the newer systems that may have been the result of a consulting project, possibly even a modern automated machine learning (AutoML) type of project. In both cases, if you are fortunate, automatic handling of partial model change has been incorporated into the system, so at least some model retraining is handled automatically. However, none of the currently available AutoML tools allow for performance monitoring and automatic retraining, and usually the older, “one shot” projects don’t worry about that either. As a result, you may not even be aware that your data science process has failed.If you are lucky to have a setup where the data science team has made numerous improvements over the years, chances are higher that automatic model drift detection and retraining have been built-in. However, even then (and especially in the case where a complete model change is required) it is far more likely that the system cannot easily be recreated. Unless all of the steps of your data science process are well documented, and the experts who wrote the code are still with the company, it will be difficult to revisit the assumptions and update the process. The only solution may be to start an entirely new project.Obviously, if your data science process was set up by an external consulting team, you don’t have much of a choice other than to bring them back in. If your data science process is the result of an automated machine learning service, you may be able to re-engage that service, but especially in the case of the change in business dynamics, you should expect to be involved quite a bit—similar to the first time you embarked on this project. One side note here: Be skeptical when someone pushes for supercool new methods. In many cases, a new approach is not needed. Rather, one should focus on carefully revisiting the assumptions and data used for the previous data science process. Only in very few cases is this really a “data 0” problem where one tries to learn a new model from very few data points. Even then, one should also explore the option of building on top of the previous models and keeping them involved in some weighted way. Very often, new behavior can be well represented as a mix of previous models with a sprinkle of new data.But if your data science development is done in-house, now is the time an integrative and uniform environment that is 100% backward compatible comes in very handy. In such a platform, the assumptions are modeled and documented in one place, allowing well-informed changes and adjustments to be made much more easily. It’s even better if you can validate, test, and deploy the changes into production from that same environment without the need for manual interaction.Michael Berthold is CEO and co-founder at KNIME, an open source data analytics company. He has more than 25 years of experience in data science, working in academia, most recently as a full professor at Konstanz University (Germany) and previously at University of California (Berkeley) and Carnegie Mellon, and in industry at Intel’s Neural Network Group, Utopy, and Tripos. Michael has published extensively on data analytics, machine learning, and artificial intelligence. Follow Michael on —New Tech Forum provides a venue to explore and discuss emerging enterprise technology in unprecedented depth and breadth. The selection is subjective, based on our pick of the technologies we believe to be important and of greatest interest to InfoWorld readers. InfoWorld does not accept marketing collateral for publication and reserves the right to edit all contributed content. Send all inquiries to ",https://www.infoworld.com/article/3561290/data-science-during-covid-19-some-reassembly-required.html
"Redis 6: A high-speed database, cache, and message broker","Redis is a powerful blend of speed, resilience, scalability, and flexibility, and Redis Enterprise takes it even further","Like many, you might think of Redis as only a Essentially, Redis is a The core Redis data model is key-value, but many different kinds of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, and Bitmaps. Redis also supports geospatial indexes with radius queries and streams.To open source Redis, Redis Enterprise adds features for additional speed, reliability, and flexibility, as well as a cloud database as a service. Redis Enterprise scales linearly to hundreds of millions of operations per second, has active-active global distribution with local latency, offers Redis on Flash to support large datasets at the infrastructure cost of a disk-based database, and provides 99.999% uptime based on built-in durability and single-digit-seconds failover.Further, Redis Enterprise extends the core Redis functionality to support any data modeling method with modules such as RediSearch, RedisGraph, RedisJSON, RedisTimeSeries, and RedisAI, and allows operations to be executed across and between modules and core. All this is provided while keeping database latency under one millisecond.What does it mean that Redis can now function as a database, cache, and message broker? And what are the use cases those roles support?CacheThe Redis can function as a Basic replication allows Redis to scale without using the cluster technology of the Redis Enterprise version. Redis replication uses a leader-follower model (also called master-slave), which is asynchronous by default. Clients can force synchronous replication using a WAIT command, but even that doesn’t make Redis consistent across replicas.Redis has server-side Lua scripting, allowing programmers to extend the database without writing C modules or client-side code. Basic Redis transactions allow a client to declare a sequence of commands as a non-interruptible unit, using the MULTI and EXEC commands to define and run the sequence. This is Redis has different levels of on-disk persistence that the user can select. RDB (Redis database file) persistence takes point-in-time snapshots of the database at specified intervals. AOF (append-only file) persistence logs every write operation received by the server. You can use both RDB and AOF persistence for maximum data safety.Redis Sentinel, itself a distributed system, provides high availability for Redis. It does monitoring of the master and replica instances, notification if there is something wrong, and automatic failover if the master stops working. It also serves as a configuration provider for clients.Redis Cluster provides a way to run a Redis installation where data is automatically sharded across multiple Redis nodes. Redis Cluster also provides some degree of availability during partitions, although the cluster will stop operating if the majority of masters become unavailable.As I mentioned earlier, Redis is a key-value store that supports Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, and Bitmaps as values. One of the simplest and most common use cases is using integer values as counters. In support of this, INCR (increment), DECR (decrement), and other single operations are atomic, and therefore safe in a multi-client environment. In Redis, when keys are manipulated they will automatically be created if they don’t already exist.The other kinds of value structures also have their own examples in the There are a number of Using a shared-nothing cluster architecture, Redis Enterprise delivers infinite linear scaling without imposing any non-linear overheads in a scaled-out architecture. You can deploy multiple Redis instances on a single cluster node, to take full advantage of multi-core computer architecture. Redis Enterprise has demonstrated scaling to hundreds of millions of operations per second with five nines (99.999%) uptime. Redis Enterprise does automatic re-sharding and rebalancing while maintaining low latency and high throughput for transactional loads.Redis Enterprise offers active-active deployment for globally distributed databases, enabling simultaneous read and write operations on the same dataset across multiple geo-locations. To make that more efficient, Redis Enterprise can use While there is One of the major differences between Redis and Redis Enterprise is that Redis Enterprise Redis on Flash is a Redis Enterprise feature that can drastically reduce the cost of hardware for Redis. Instead of having to pay through the nose for terabytes of RAM or restrict the size of your Redis datasets, you can use Redis on Flash to place frequently accessed hot data in memory and colder values in Flash or persistent memory, such as Intel Optane DC.Redis Enterprise modules include RedisGraph, RedisJSON, RedisTimeSeries, RedisBloom, RediSearch, and RedisGears. All Redis Enterprise modules also work with open source Redis.Redis 6 is a big release, both for the open source version and the Redis Enterprise commercial version. The performance news is the use of threaded I/O, which gives Redis 6 a 2x improvement in speed over Redis 5 (which was no slouch). That carries over into Redis Enterprise, which has additional speed improvements for clusters as described above.The addition of access control lists (ACLs) gives Redis 6 the concept of users, and allows developers to write more secure code. Redis Enterprise 6 builds on ACLs to offer role-based access control (RBAC), which is more convenient for the programmers and DBAs.Redis Enterprise 6.0 adds support for the Streams data type in active-active databases. That allows both high availability and low latency while concurrently reading and writing to and from a real-time stream in multiple data centers in multiple geographic locations.RedisGears is a dynamic framework that enables developers to write and execute functions that implement data flows in Redis. It lets users write Python scripts to run inside Redis, and enables a number of use cases including write-behind (Redis acts as a front-end to a disk-based database), real-time data processing, streaming and event processing, operations that cross data structures and models, and AI-driven transactions.RedisAI is a model serving engine that runs inside Redis. It can perform inference with PyTorch, TensorFlow, and ONNX models. RedisAI can run on CPUs and GPUs, and enables use cases such as fraud detection, anomaly detection, and personalization.You can install Redis by You can install Redis Enterprise on Linux or in Docker containers. The Linux downloads come in the form of binary packages (DEB or RPM depending on the flavor of Linux) and Bash shell scripts for cluster installation. The scripts check for the required four cores and 15 GB of RAM for installation.The fastest way to install Redis Enterprise is not to install it at all, but rather to run it in the Redis Enterprise Cloud. When I tried this myself for review purposes, I initially received a Redis 5 instance; I had to ask for an upgrade to Redis 6.",https://www.infoworld.com/article/3563354/redis-6-a-high-speed-database-cache-and-message-broker.html
When not to use AIops for cloudops,The excitement around AIops means that it’s sometimes being deployed for the wrong reasons.  Here are a few situations where AIops is contraindicated,"Artificial intelligence for IT operation platforms, better known as AIops, is an evolving and expanded use of technologies that for the past several years were categorized as IT operations analytics. The growth of AIops has been clear to anyone watching the market, but if you need some statistics, Gartner reports that by 2022, 40 percent of large enterprises will use AIops tools to support or replace monitoring and service desk tasks, up from 5 percent today.That’s a pretty big jump. However, it’s also an indication that many enterprises may pick AIops tools for the wrong purposes—mistakes that will likely cost millions. Here is what I’m seeing.Using AIops tools to fix bad cloud architectures and deployments.Just like “you can’t fix stupid,” poorly planned architectures need to be corrected before you apply AIops tools and use them properly. AIops tools work on the assumption that the solution's configuration is sound before they can process alarms and resolutions properly. If not done in that order, you’ll just be teaching your AIops system how to correlate gigabytes of data coming from cloud and non-cloud systems, attempting fixes that are unlikely to be successful because they kick off other alerts and triggers.Hoping AIops tools will eliminate people and costs.I’ve seen enterprises invest in AIops tools based on a business case pointing to fewer ops team members needed, and the ability to automate costs out of the ops equation. Although there is a potential to reduce cost and staff much further down the road, AIops requires a great deal of ops expertise. You typically see AIops drive an expansion of the cloudops team, and costs initially rise for at least a few years. You have to invest in efficiency; you can’t remove dollars and expect good outcomes. Using AIops to deliver better security.AIops is one of those tools that needs to be implemented with great care in order to be effective. The market is moving at such speed that mistakes are going to happen; however, with a bit of common sense, you’ll find that AIops will eventually provide the value you’re looking for.       ",https://www.infoworld.com/article/3563908/when-not-to-use-aiops-for-cloudops.html
How PagerDuty helps customer service and IT teams improve responses,"PagerDuty uses machine learning to anticipate issues and dramatically accelerate responses, so problems are addressed before they impact customers","Predicting the outcome of the NCAA men’s Division I basketball tournament — an event where upsets are celebrated wildly and the outcome is notoriously difficult to foresee — is nearly as competitive as the tournament itself. For years, Warren Buffet held a contest offering a billion dollars for a perfect bracket, and nobody even came close. Speaking of unpredictability, just as fans were getting ready to make their picks for this year’s tournament, all major public sporting events were canceled. Who could have predicted Even though we can’t see the future, a deep understanding of variables does enable people to make better predictions and gain an edge over the competition. Picking winners by their school mascot may work every once in a while, but an in-depth study of the best teams, coaches, and athletes is a much more effective strategy.Likewise, customer service, devops, and IT issues are inherently unpredictable. It’s impossible for companies to know in advance when operational problems will arise, product defects will surface, or communications will go askew. Solutions driven by AI and machine learning can help teams improve their odds. These products can dramatically accelerate responses to issues, so problems are prevented or resolved before most customers encounter them. Companies can get thousands of alerts per minute when a problem arises within their digital app or service — a broken cart for an ecommerce website, for example — which is neither useful nor actionable for human interpreters to tackle. The overwhelming amount of noise simply leads to lost signals and many more contacts between customers and service teams before underlying problems can be addressed.Predictive solutions for customer services are built on understanding the drivers behind the signals. Quickly identifying patterns helps companies stay ahead of the curve. Machine learning tools free up a lot of cycles for response teams by cutting through the noise, rather than distracting them over and over again with alerts and information that may not be useful.When teams use machine learning in this way, they can boil down the signals to uncover the actual incidents that are driving the unmanageable number of alerts. Instead of scrambling to put out many small fires, they can see the big picture of where the problems actually lie and be more intelligent and informed in tackling a smaller group of larger issues.Predictive processes must be conducted in real-time if they are going to help companies get ahead of the issues for the majority of customers. Developing problems that threaten to impact customers do not allow time to be paused for reflection or deliberation.The higher-level need for predictive customer and IT services is in training algorithms to recognize which alerts belong to which incidents. At PagerDuty, our main goal is to help companies identify issues before they cause problems within digital systems, and predict what may go wrong in the future so companies can get ahead of it. We use machine learning to group alerts together so teams can see the full scale of the issues and know precisely how to solve them.For example, multiple teams may each be working on individual complaints without understanding that they are all elements of a single issue. Insights from PagerDuty’s platform solve that problem and get everyone on the same page. Meanwhile, as responders are assigned specific issues to fix, the platform triages messages to each individual so they are not overwhelmed with issues outside of the one they are addressing.This is important because most systems don’t operate in isolation where a point failure in one place is the same as a point failure somewhere else. When problems arise, companies use PagerDuty to help find the origin point for cascading issues to try to prevent catastrophic failure. When teams can be more predictive and preventive, they gain a higher-level view of the problems and learn where their efforts will have the most impact.A structure that helps teams identify and solve problems quickly also gives much greater visibility to every level of the organization. Managers and directors can have better insights about how to deploy teams. Leaders who may have to explain problems or downtime to customers are likewise armed with information and a clear path forward.Giving companies greater predictive and preventive power for customer service and IT starts with grouping issues in a way that helps identify underlying causes of digital issues. That grouping begins with the supposition that if two messages have similar text, then those messages are fundamentally similar. Although this is reasonable in theory, knowing whether those messages are truly similar is a fuzzy concept.At PagerDuty, the most impactful solution has been to apply a parser that takes messages and transforms them into less refined language. This process boils down the words in order to surface specific elements within the message.The system locates unique identifiers like dates, times, customer IDs, or websites with IDs inside that would only be issued in the context of customer messages and reports. These identifiers are generally unimportant to the parser in terms of content. The program simply identifies that they are present within the body of the message.After this overall blurring, the words and identifiers within each message can then be grouped together. This is where PagerDuty’s platform examines the incoming signals and determines the full extent to which messages share groups of words.This step is accomplished by vectorizing, which is the process of turning each of these series of words into a representative sequence of numbers. But it is still an imperfect system. Every sentence produces a vector representation, of course, but each vector could conceivably come from several different sentences. Usually, there is enough information to determine when sentences have the same information. But PagerDuty’s software engineers still have to account for the fact that there are many ways that a vector could have been put together.Once the system can identify a group of messages that have the same vectors, they are bundled together. These groups essentially have the same content. Their identifiers indicate they are full of all the same terms.For example, a company usually learns that something is going wrong when it is suddenly flooded with reports and messages. Most of these will be machine-generated, some with custom templates and some even written by a person. Without some sort of grouping, teams have no way of seeing a higher-level view of the circumstances. They could build a grouping tool, but that would require a serious investment of time and effort, all while more incident reports pile up.Likewise, because so many of the messages have different content, simply grouping messages only when they are identical doesn't do much to diminish the volume of issues. Using AI to discern similarities lets the group accumulate relevant information over time. Instead of thousands of individual problems, each represented by a report or message, grouping alerts this way surfaces just a few core issues that are the source of other problems.At that point, the system has enabled the response teams to become both predictive and preventive. It becomes much easier to find the biggest issues and fix the underlying causes that will prevent future problems. Prioritizing a little engineering work on core issues causes the incident load to drop dramatically, all from basic AI-driven grouping.In theory, this should be a very reliable process. Once messages are parsed, identified, and vectorized, it should be easy for the system to group them together as similar. They are all textually related and the vectors let the platform measure the strength of the relatedness.In practice, of course, it’s not always so simple. The flexibility of language means that the system quite often gets it wrong. This is why PagerDuty builds ample and powerful feedback systems into our products.When end users provide feedback to the system, they are giving us new data points to help perfect the process. This is usually an acknowledgment that, yes, A and B look like they should be related. However, the human context of the message reveals that they don’t have much to do with each other.PagerDuty’s feedback system gives greater weight to messages that have been positively correlated because they share terms, but then human feedback reveals they are not similar. This evaluation and modification could be accomplished in software through a very large reinforcement learning system, but for the user it is a simple evaluation whether terms and messages should or should not be together.  Customers, of course, do not need to see the nuts and bolts of how this works. The customer service and IT teams should have simple tools to provide feedback that will delineate which terms don’t match.On a higher level, PagerDuty’s feedback systems give users broad options for merging and separating groups of terms within the alerts. This is simply grabbing items and moving them in or out of a group; in essence indicating that certain items belong with each other, but another does not match.Another less sophisticated but equally powerful product may only require literal thumbs-up and thumbs-down buttons. The user essentially approves of a match or indicates a flaw in the process.Anything can and will happen to frustrate and disappoint customers, as anyone who has worked in customer service will tell you. Improving your odds in those unpredictable circumstances requires learning, understanding and solving problems as quickly as they emerge. The foremost integrated Chris Bonnell is principal data scientist at —New Tech Forum provides a venue to explore and discuss emerging enterprise technology in unprecedented depth and breadth. The selection is subjective, based on our pick of the technologies we believe to be important and of greatest interest to InfoWorld readers. InfoWorld does not accept marketing collateral for publication and reserves the right to edit all contributed content. Send all inquiries to ",https://www.infoworld.com/article/3544929/how-pagerduty-helps-customer-service-and-it-teams-improve-responses.html
