title,blurp,text,url,imgrul
Singapore Ranked Number One in Asia in Latest Global Innovation Index			,Article has not blurp," Singapore has retained its overall top ranking as Asia’s most innovative nation in the latest Global Innovation Index (GII) released by the World Intellectual Property Organisation (WIPO), Cornell University & INSEAD. It has held this position since 2014.The GII ranks world economies according to their innovation capabilities. Consisting of roughly 80 indicators, grouped into innovation inputs and outputs, the GII aims to capture the multi-dimensional facets of innovation.Singapore continued to top the Innovation Input Sub-Index which gauges elements of the national economy which embody innovative activities. and maintained its 15th position in the Innovation Output Sub-Index which captures actual evidence of innovation results.Singapore continued to perform well, ranked 1st globally,  in the traditionally strong indicators of ‘Political and operational stability’, ‘Government effectiveness’, ‘Tertiary education’ and ‘High tech manufacturing’.Ranked 2nd globally in ‘Government’s online service’, ‘Regulatory environment’, ‘Investment’ and ‘knowledge intensive’ employment, the continued good performance in these indicators are a nod to the country’s efforts to build a strong and active IP regime. Singapore also improved on the ‘Mobile app creation’ indicator, moving up three places to 7th globally.“Besides being fully digital for all our IP application services since 2014, IPOS has enhanced our mobile app for trademark applications, the first of its kind in the world, conducted fully virtual IP dispute hearings, converted our face-to-face trainings to online modules and increased the frequency of complimentary online IP business and legal clinics.”“IPOS is continuously innovating to give enterprises a business edge during the pandemic where time is of the essence. We are also encouraged to see significant movement in the indicator measuring the proportion of female employees with advanced degrees as well as our credible showing in the inaugural ‘Global brand value’ indicator” said Mrs Lee.Singapore also ranked number 1, from 36th last year, for the ‘Knowledge Workers – females employed with advanced degrees’ indicator for the first time. This indicator measures the proportion of female employees with advanced degrees, out of the total employed.A new indicator ‘Global brand value’ was added to the GII for the first time. It better recognises the commercial importance of brands in the marketplace. This indicator looks at the total value of a country’s brands in Brand Finance’s top 5,000 global brand database, as a proportion of GDP. Singapore was ranked 13th.Globally, 
		",https://opengovasia.com/singapore-ranked-number-one-in-asia-in-latest-global-innovation-index/,http://opengovasia.com/wp-content/uploads/2018/09/59e6e6b2f0bf1f0001c991e1_Innovation-featured-1.jpg
"DOT, DTI empowers Philippine MSMEs through online platforms and webinars			",Article has not blurp,"The goal of the Philippine Harvest e-commerce site of the Department Of Tourism is a contactless farm-to-market experience that promotes local farmers and micro, small and medium enterprises. In this new normal, Tourism Secretary Bernadette Romulo-Puyat urges the public that it is best to utilise the advancements there is today using the internet by visiting phharvestdot.com.The Philippines is rich in agricultural lands thus the abundant harvests. However, without a proper systematized way of the distribution of the goods, most of them go to waste. In a survey, over 2,000 tons of food are thrown away every single day just in Metro Manila, even though one in three Filipinos lives below the poverty line. This is indeed a global problem not only happening in the country.To prevent food waste, the creation of the said portal was even pushed to materialize. This is a sustainable solution that even the Department of Trade and Industry also believes in as they successfully launched a platform that does just that called “Go Lokal!”.Powered and supported by an IT solutions company, the portal guarantees an easy online shopping and an elevated dining experience in every household as it promises fast and reliable delivery from merchants that deliver the food fresh and clean right onto doorsteps.The platform gives a unique privilege to all partner-merchants. They will gain proper access to business tools available and respective accounts for order tracking, inventory management, product catalogues and links to their social media sites, etc.The aim of “Go Lokal” is to also empower Micro, Small and Medium Enterprises in the country that sells not only fresh produce but other locally manufactured goods. Interested buyers need to visit the site https://www.shopinas.com/go-lokal and are assured a convenient, practical and virus transmission-free transactions.In a recent study, the country’s economy had shrunk due to weaker remittances, prolonged, stringent domestic lockdown and soft foreign demand. Experts see the GDP falling 6.1% this year, which is down 2.2 percentage points from last months forecast. Next year, it is projected to accelerate by 7.5%.The sudden drop of the economy in the Philippines pushes government agencies like DTI and DOT to provide opportunities to MSMEs through substantial webinars and the creation of effective online platforms. The buy local, go local concept revolves around the message for citizens to give preference to the products of Philippine MSMEs at this time of pandemic to contribute to the improvement of the economy.The Senate and House Of Representatives, under the Bayanihan Bill 2, recognises the tourism sector as key in their efforts of ensuring the survival of the 99.9% of 144,640 MSMEs with businesses ranging from accommodation to food services based on the 2018 data from the Philippine Statistics Authority (PSA). In a recent statement by DOT, they expressed their gratitude to the Bicameral Conference Committee for approving an allocation of PHP 10 billion (US$ 206 million) for the tourism industry under the Bayanihan To Recover As One or the Bayanihan Bill 2.Meanwhile, the Department of Trade and Industry organised free webinars for MSMEs. In Laguna, they conducted a web-based training on Retail Management in the local “Negosyo” (Business) Centre. The interaction was also aired via Facebook Live to address a wider audience. The free webinar is part of the SME Roving Academy which promotes the continuance of learning among MSMEs to become competitive in domestic and international markets amid the health crisis.",https://opengovasia.com/dot-dti-empowers-philippine-msmes-through-online-platforms-and-webinars/,http://opengovasia.com/wp-content/uploads/2020/09/4_Sept_2020_2-Ph-Revised-Version.jpg
Intelligent Automation can revolutionise the workings of public sector organisations			,Article has not blurp,"The pandemic has taught the world a lesson – a global crisis can hit anytime and it is critical to be prepared for it.One sector that is most severely impacted by large-scale crises – like the current pandemic – is the public services sector. Rather than scaling down, public services (especially some departments) work more than usual to ensure all basic amenities are available to the citizens as they were instructed to stay at homes.In times like these, where certain public sector departments were working incessantly to help citizens, automation can augment the government’s ability to serve people.In light of its relevance in these times, OpenGov Asia hosted OpenGovLive! Virtual Breakfast Insight with delegates from various public sector agencies from Singapore to discuss and encourage the adoption of automation technologies.The unattended virtual worker is the future of automationThe session opened with a presentation from Mohit Sagar, Group Managing Director and Editor-in-Chief, OpenGov Asia.Mohit began by highlighting the fact that COVID-19 dismantled the status quo in governments and organisations.With all the world going into sudden lockdown, governments had to take the responsibility to provide better and seamless services for citizens and businesses to survive.This was where Digital transformation and implementation of Robotic Process Automation helped ease the pressure in government departments/agencies that were over-burdened.Robotic Process Automation (RPA) not only helps lighten the load by taking over complex repetitive tasks but also helps cut costs – a constant challenge for governments as they continue their battle against COVID-19.Mohit also gave the attendees a glimpse into what the future would look like for automation technology. He opined that the unattended virtual worker who runs on a pre-decided schedule will become the norm.From a long-term perspective, unsupervised robots tend to become more efficient, with lower costs for deploying new ones, scaling up or maintenance. This is mainly due to the higher-utilisation rate of robots and the convenience of adopting the same technology to a different use case in different organisation. The centralisation aspect during execution also ensures that risk aspects around confidentiality and data are managed better.Mohit concluded his presentation by advising organisations to collaborate with experts as they embark upon their journey towards automation rather than trying to do everything on their own.RPA has moved from the realm of mundane to the realm of innovationAfter Mohit’s presentation, Dan Ternes, Chief Technology Officer, Blue Prism, shared his insights on the topic.Dan began by clarifying that RPA today has moved way forward from how we understood it traditionally to a more exciting and comprehensive phase. The way businesses and organisations are using RPA today is in the realm of innovation and no longer merely to do repetitive tasks. Dan explained that traditionally RPA is thought of as something that would boost operational excellence, but now it has away from the spectrum of the menial and the mundane.Organisations are now focusing on automating tasks that are complex, strategic and mission-critical to them. He shared how the public health sector in Singapore used a Blue Prism solution to manage complex data on public health during the pandemic.This journey is now going into the second wave of RPA implementation which involves using it in conjunction with other technologies like Optical Character Recognition, chatbox, natural language processing, etc.He called this the wave of digital simplification. He revealed that a national taxation agency is successfully implementing this in combination with other complementary technologies for automatic compliance checks on deductions.After this, he felt, comes a third wave that breaks away from the constraints of the past. This wave includes initiatives like smart nation and smart cities. He was quick to point out that it is also important to make sure that the new, the digital and the sophisticated must continue to tie into the legacy applications that run our society. Otherwise, the whole system could become get very disintegrated.Dan concluded by sharing that Blue Prism has had a great record of adding value in all three waves and encouraged the delegates to lean towards automation.Various use cases of automation in the field of EducationAfter an enlightening introduction by Dan, Peter Buckmaster, Director of Digital Experience Design at The NSW Department of Education shared his knowledge with the delegates.Peter began by introducing the NSW Department of Education which is the largest education department in the southern hemisphere and shared how it is using automation in its functioning.  He explained that they are using a combination of RPA and AI to enhance their work efficiency and accuracy.The first major bit of automation initiated by the department was automating the process of employee onboarding/access management and the digitising of paperwork involved in the process. This resulted in saving almost 460 hours of work that was done by the department workforce.He listed the 6 broad uses of AI and RPA in the field of education.Peter also played the audience a video featuring examples of how the above-mentioned use cases come into play. The video greatly helped delegates visualise how incorporating automation can enable work efficiency without requiring more time.After Peter’s presentation, it was time to go into a time of polling and engage in discussions around the topic.On the first question about how automation fits into your organisation’s digital transformation journey, almost half the room voted for: Improve work efficiency (53%).Some really interesting perspectives came out of the discussion on this question. A Chief Medical Informatics Officer from a major hospital in Singapore reflected that he chose the above option because, in large organisations like his own, a lot of processes are still undertaken manually by staff. This leads to monotony and impedes workflow efficiency. By automating these processes, high-value work can be allocated to the employees.On the next question regarding the biggest challenge in implementing your digital strategy, the audience was split between Inflexible business processes and teams (37%) and Lack of properly skilled teams (37%).A senior governance officer from an educational institution shared that she chose the former because they feel the need to automate or update some of their existing technology, but always get a lot of resistance from the employees. So there is a need to change people’s mindsets and make them more accepting of technology.On the final question about the biggest area of priority for incorporating automation, the audience was divided between Citizen Engagement (26%) and Co-agency collaboration (26%).On this one, a Chief Digital Officer from another health care institution in Singapore reflected that they are looking to first begin with automating the more manual tasks and then gradually diversify into other more complex and specific tasks.After this fruitful discussion, Mohit invited Dan to bring the session to a conclusion with closing remarks.Dan thanked all the delegates and speakers for participating and contributing to the session. He re-emphasised the fact that automation has great potential and can help solve some of the problems of the “new normal”. He also felt that, apart from having the right technology, it is equally important to have the right vision and implementation process to achieve the desired goals.The delegates left the virtual insight well informed and empowered.",https://opengovasia.com/various-use-cases-of-automation-in-the-field-of-education/,http://opengovasia.com/wp-content/uploads/2020/09/Group-pic-Sept.-3rd.jpg
WA government and Austmine launch digital mining export hub			,Article has not blurp,"The Western Australian Mines and Petroleum Minister officially launched the inaugural Austmine WA METS Digital Mining Export Hub in Port Hedland on 4 September 2020. The Hub putting Western Australia’s Mining Equipment, Technology and Services sector in the spotlight.The The virtual hub aims to initially provide services in Port Hedland, Karratha, Newman, Kalgoorlie and Bunbury. METS businesses are a vital part of the resource sector supply chain and contributed an estimated $27 billion to the WA economy in 2018-19.The WA Government has committed $350,000 and in-kind support worth $50,000, through Invest and Trade WA, to establish this initiative.  The Mines and Petroleum Minister stated that the launch of Austmine’s WA METS Digital Mining Export Hub is ground-breaking for the local METS sector and a fantastic result for Western Australia.He noted that Western Australia’s mining technology is world-leading, and the hub will enable these local companies to provide their services across the globe. The export hub will not only be vital in supporting the State’s recovery, post-COVID-19 but will also be a boost to jobs and in the state’s local economies.The Pilbara MLA stated that the establishment of the Hub was an exciting announcement for mining, equipment, technology and services companies in the Pilbara region. There’s no better time than now to identify new export opportunities for the sector, and use Western Australia’s digital capability to strengthen our economy.WA is the world’s top mining destinationAccording to The Australian state, which is home to almost 130 export-oriented mining projects and hundreds of smaller quarries and mines producing over 50 different commodities, had ranked second in 2018. In August 2020, the Premier of Western Australia and the Mines and Petroleum Minister The investment, which forms part of the WA Recovery Plan, will boost exploration opportunities and provide next-generation geoscience information for Western Australia’s resources sector. The EIS supports five high-level programs, including the successful co-funded drilling program, which offers up to a 50% refund for innovative drilling in under-explored areas in WA. The additional $5 million will increase funding for the EIS to $15 million in 2020-21, resulting in an extra $3 million which is available across the next two co-funded drilling rounds.The funding will accelerate the acquisition of airborne electromagnetic data from the southern half of the State, which is testing for the presence of critical battery minerals (such as nickel) and water. Curtin University, in Bentley, has a 27-year-old ion microprobe that previously provided valuable data about the timing of mineralising events, but it is no longer fully operational.State funding of $3.2 million will enable Curtin to secure $5 million in Commonwealth funding to purchase a new CAMECA-1300 Ion Microprobe, which will be an Australian first. In addition to its geoscience applications, the instrument will be used to support the Australian Space Agency’s interest in increasing Australian participation in international deep space sample return missions.The Premier noted that the flow-on effect from this additional investment in exploration and technology will result in drilling companies deploying more rigs and workers, and lead to new resource discoveries.”The Mines and Petroleum Minister had said that the new ion microprobe instrument is next-generation, it will be an Australian-first and one of only five in the world. It will revolutionise their understanding of how and when Western Australia’s key mineral deposits formed.The resources industry is already a world-leader in technology and research; having access to the Ion Microprobe will provide the State with a unique technological advantage to discover the next generation of resources. Interestingly, the Ion Microprobe has potential applications well beyond the resources sector, such as understanding the formation of our solar system.",https://opengovasia.com/wa-govt-and-austmine-launch-digital-mining-export-hub/,http://opengovasia.com/wp-content/uploads/2020/09/Article_4-Sept-2020_3-Aus.jpg
Dark matter experiments planned for 2021			,Article has not blurp,"Australian scientists hope to start experiments to detect dark matter as early as next year, following the successful excavation of the site for the underground laboratory at the Stawell Gold Mines.ANSTO While the search for dark matter is a core mission for SUPL, ANSTO’s main contribution relates to the extremely low background radiation environment needed to operate the SABRE Dark Matter detector.ANSTO operates highly sensitive radiation detectors at its Lucas Heights campus, which are used for high precision measurements of very low levels of radiation from natural materials.It is expected that the sensitivity of such measurements can be increased by a factor of 10 or more thanks to the ultra-low background levels which will be achieved in SUPL because it is located one kilometre underground, a Member of the Steering Project Committee said.ANSTO health researchers are also interested in using SUPL to investigate the development of biological systems, such as cell cultures in the absence of background radiation.The scientists are very much looking forward to the commissioning of SUPL, which will be the first underground physics laboratory in the Southern Hemisphere, and to the exciting discoveries, it will enable.The Stawell Underground Physics Laboratory (SUPL) will have a main research hall that is 33 metres long, 10 metres wide and 12.3 metres high, and a side access wing configured in an L shape – to house the multi-disciplinary work of scientists from five research partners, including the University of Melbourne.With all excavation and rock removal undertaken at a depth of approximately one kilometre underground, the physics lab can be now built within the caverns.Funding for the lab was announced in 2019 with Commonwealth and Victorian governments both allocating $5 million each for the facility. The Australian Research Council awarded a $35 million Centre of Excellence for Dark Matter Particle Physics, with headquarters at the University of Melbourne.The Centre’s activities will establish the Stawell Underground Physics Laboratory as the Southern Hemisphere’s epicentre for dark matter experiments.While the coronavirus (COVID-19) pandemic has recently prevented visits underground, the early works package of the project has been completed, ensuring the site is now ready for the lab to be constructed.The General Manager of the mines stated that the excavations for the laboratory are now completed, with the mining teams creating two laboratory chambers, 1025m underground.The main laboratory chamber excavation was a technical piece of work, undertaken in stages, as it is significantly larger than our normal operations and requires a higher level of engineering to ensure the longevity of the facility.It’s an exciting period in the development of the laboratory as it moves into the construction phase and the eventual realisation of a world-class scientific facility.Explosives and heavy machinery were used to excavate the two caverns, clearing approximately 4700 cubic metres before rock bolts and supports were installed before spraying shotcrete to reinforce the cavern.The materials used to secure the cavern and cover the rock walls were all sourced from special suppliers to ensure the environment is suitable to host the types of experiments, which will be located within the laboratory.The next step will be to award a contract to build the underground lab, with the tender process expected later this year and the Stage 1B works to be undertaken in 2021.It is expected that in about one year from now, the scientists will be able to fit out a high-tech laboratory. As cosmic rays cannot reach one kilometre underground, the team is in an ideal location to carry out experiments.According to ",https://opengovasia.com/dark-matter-experiments-planned-for-2021/,http://opengovasia.com/wp-content/uploads/2020/09/Article_4-Sept-2020_1-Aus.jpg
MDEC partners to advance digitalisation			,Article has not blurp,"The Malaysia Digital Economy Corporation (MDEC) recently signed a memorandum of understanding (MoU) with an multinational financial services corporation to advance digitalisation in the economy and support digital initiatives outlined in the government’s new PENJANA economic recovery plan.MDEC, an agency under the Ministry of Communications and Multimedia Malaysia (KKMM), stated that The Deputy Minister of Communications and Multimedia Malaysia stated that the MoU between the financial firm and MDEC, the lead agency in driving the nation’s digital economy initiatives, brings a truly dynamic synergy that will see the sharing of best practices and knowledge-sharing between both parties to enable the economy’s digital transformation and fuel business growth in Malaysia.KKMM and MDEC aspire to firmly establish Malaysia as the Heart of Digital ASEAN and reinforce its regional digital powerhouse role that engages global champions by ensuring the digital economy will drive shared prosperity for all Malaysians as well as the region.The industry partners of both parties will be supported in the rollout of the financial firm’s payments and business technologies such as like the firm’s proprietary Payment Gateway Services, Kionect microcredit platform, and Tap-on-Phone Contactless Technology and Simplify Commerce.The Chairman of MDEC noted that the challenges faced by the businesses this year have demonstrated to the government that achieving sustainable and inclusive growth requires a proactive public-private sector collaboration for trade and commerce to continue to flourish in the global scene.Moreover, digitalisation is key and will continue to be a major factor for Malaysians to embrace living and working in an era that engages the 4The Chief Executive Officer of MDEC commented that by working with financial giant and drawing on their expertise in developing vast electronic payment infrastructure, the government looks forward to tackling a range of pressing economic and social issues through technologies that better connect individuals, communities, and businesses to become digitally-skilled Malaysians and digitally-powered businesses of all sizes across the country.Both partners will leverage on each other’s programs such as the firm’s global mentorship programs and signature Girls4Tech STEM curriculum to promote digital and financial literacy for vulnerable groups, such as underprivileged women and girls, and women-led enterprises.These are areas that are also being championed by MDEC through its various existing programs such as digital talent development, empowering women in cyber risk management, online eCommerce services with Perkhidmatan e-dagang setempat (PeDas), eUsahawan (entrepreneurship) and eRezeki (sustenance) initiatives.MDEC will now be a corporate member of StartPath, Mastercard’s global initiative that supports innovative early-stage companies, to enable Malaysian Islamic FinTechs to grow and expand.The Country Manager for Malaysia and Brunei at the financial services firm stated that the work that MDEC does is line with the company’s aims to advance digital technologies to create opportunity, expand inclusivity, and drive profitable entrepreneurship.The Malaysian government has laid out ambitious goals for moving the country forward and create a smart, informed community—both out of the pandemic and beyond—and the firm is committed to supporting this pursuit of progress by working with the MDEC to deploy the most secure, efficient, and versatile payment technologies in the world.In 2017, the firm partnered with Cyberview and the Malaysian Global Innovation & Creativity Centre (MaGIC) to transform Cyberjaya as a Smart City with a focus on cashless initiatives and now look forward to continuing this digital innovation endeavour through MDEC on a nationwide scale.",https://opengovasia.com/mdec-partners-to-advance-digitalisation/,http://opengovasia.com/wp-content/uploads/2020/09/Article_4-Sept-2020_2-Malaysia.jpg
DICT’s expands Free Wi-Fi for All programme in Zambales			,Article has not blurp,"DICT DICT Secretary Gregorio Honasan II said efforts in Zambales serve as a showcase of DICT’s initiatives to facilitate faster internet access for the educational (online and blended learning) and healthcare sectors in provinces like Zambales.The DICT Secretary and Zambales Governor signed a memorandum of agreement in January 2020 that would amplify the cooperation and collaboration on ICT connectivity projects, governance and training programmes. The Governor has given his utmost support and placed total confidence in the DICT. He added that the partnership would open many opportunities for Zambales. The internet would enable the community to explore and discover the potential for growth and prosperity in the field of ICT.“Each and every citizen, regardless of where he or she is in the region, will be empowered not just for education but opportunities for work because of the connectivity that the government will bring through the Free Wi-Fi for All program,” De Castro Working with DepEd, CHED and TESDA, the goal has always been to ensure that the education sector gets quality access to broadcast, connectivity and digital security this upcoming school year under the new normal.Secretary Honasan also DICT Undersecretary Eliseo M. Rio Jr. said that the endeavor is part of DICT’s efforts to provide internet connectivity in underdeveloped communities as well as in geographically isolated and disadvantaged areas. The distribution of the free Wi-Fi hotspots is in line with RA 10929 or the Free Internet Access in Public Places Act. DICT Undersecretary for Legal Affairs, Policy, Planning and Finance Jose Arturo C. De Castro added that the importance of the “Free Wi-Fi For All” programme is to empower all Philippine citizens in the digital age.The distributed Wi-Fi Hotspot is said to run at forty megabits per second which is impressive when compared to the common household spend of (up to) one thousand nine hundred pesos (about US$ 39) on a twenty megabits per second connection.There is no longer a digital divide as an estimated 4,922 free public Wi-Fi Hotspots have been made available. The regions of Luzon, Visayas and Mindanao are now connected online. Earlier in March this year, the DICT simultaneously These areas are part of the targeted three thousand sites in eleven provinces by June 2020 under phase one of DICT’s project in coordination with the United Nations Development Programme (UNDP). A total of six thousand sites are expected to be given access between by December of this year.The Philippine President has successfully exercised his power in mandating the ",https://opengovasia.com/dicts-expands-free-wi-fi-for-all-programme-in-zambales/,http://opengovasia.com/wp-content/uploads/2020/09/Article_4_Sept_2020_1-Ph.png
AustCyber hackathon to aid NMPCC efforts			,Article has not blurp,"For a second year running, AustCyber, along with the Australian Federal Police’s (AFP) National Missing Persons Coordination Centre (NMPCC) and Canadian-based non-profit organisation will In October 2019, the first hackathon saw 354 ethical hackers and investigators gather across Canberra, Sydney, Brisbane, the Gold Coast, the Sunshine Coast, Darwin, Perth, Adelaide and Melbourne to generate 3912 leads on long-term missing persons selected from existing state and territory police cases.Hackathon participants, in teams of four, set out to discover information publicly available on the internet (also known as open-source intelligence or OSINT) to aid relevant Australian policing jurisdictions in their investigations for the missing person cases provided for the event.The Team Leader at the National Missing Persons Coordination Centre, described the issue of missing persons in Australia as complex and multifaceted.“Over 38,000 missing person reports are submitted to police every year in Australia. This is a huge number, which impacts not only the police who are responsible for finding them, but also the many people who are affected and devastated by the uncertainty and helplessness of having loved ones missing,” she said.The 2020 hackathon will be scaled to maximise the chances of finding crucial pieces of data. Each registered participant will be provided with free self-paced foundational training modules for OSINT, specifically developed for the Australian OSINT environment.During October, a webinar series will be delivered by AustCyber featuring OSINT and cybersecurity experts from Australia and the USA. The live-stream on 29 October will provide enhanced user experience for the day, including presentations, mentoring sessions and a live leader board. A new website will also be deployed to provide information to participants and serve as an ongoing resource for the broader community.Many major organisations, firms and banks have returned as sponsors for 2020, with OSINT Combine joining as a new sponsor. The founder and CEO of OSINT Combine said that OSINT is derived from publicly available information or open-source information.Using public resources and people in a group setting for a ‘collection activity’ allows the analysts and investigators to spend more time on the critical part of connecting the dots and understanding the picture,” he said.The concept of this crowdsourced platform originates from the not-for-profit organisation which has provided its CTF model throughout Canada and the United States, with monthly virtual events known as ‘Global OSINT Search Party CTFs’ that allow participation from around the world.The organisation operates in many locations around the world, working with multiple law enforcement agencies. Tickets to participate in the event go on sale on 1 September 2020 via the According to In cybersecurity, specialists mine data from open sources, combine pieces of information, and create a map or a profile of the target. The target might be an organisation and its network infrastructure and services they use, a person, or a group of employees that play a vital role in the organisation.",https://opengovasia.com/austcyber-hackathon-to-aid-nmpcc-efforts/,http://opengovasia.com/wp-content/uploads/2020/09/Article_2-Sept-2020_3-Aus.jpg
Philippine government services going fully digital by 2022			,Article has not blurp,"The Full Digital Transformation Act of 2020 mandates all government agencies, government-owned and controlled corporations (GOCCs), instrumentalities and Local Government Units (LGUs) to adopt a digital plan that aligns with the Philippine Digital Transformation Strategy 2022 as proposed by Senator Sherwin Gatchalian.The bill of full digitalisation of government services promotes a zero-contact policy and facilitates ease of procedures. All of this is meant to streamline government services in accordance with Republic Act No. 11032 or the Ease of Doing Business and Efficient Government Service Delivery Act of 2018, Republic Act No. 11234,  the Energy Virtual One-Stop Shop Act and other applicable laws.Digitalisation is no longer just another trend, but it the way the world is heading to. This the rationale Senator Gatchilian emphasised in the proposal. Full digitalisation is the Philippine vision two years from now. This transformation will be achieved through business and wireless networks, resulting in higher efficiency and lower costs.The lawmaker spoke about the e-Gov Master Pan and the related e-Gov and Integrated Government Philippines (iGovPhil) programmess that have been launched by the Department of Science and Technology’s (DOST’s) Information and Communication Technology Office. However, he believed that the Philippines has been slow in integrating digital technology to improve the delivery of services and experience a sense of modernisation in the country.With COVID-19, digital transformation in the government has taken on a sense of urgency. Contract tracing and distribution of aid could be smoother if data is harmonised and digital systems are put in place more comprehensively. The proposed bill plans to harmonise collected personal data of Philippine citizens, businesses, land and transactions, among others. Further, it will open opportunities that will likely drive the government to invest in developing additional organisational capability and staff competencies.With all these plans taking on urgency in the light of the pandemic, the government predicts it will be expedient to build a Digital Transformation Department to manage the ambitious and yet highly practical investment. The department would be expected to support and roll out the office’s digital transformation strategy.With a future-ready mindset, The DTD is projected to shoulder responsibilities to promote and guide the onboarding and training of government personnel using e-Gov services.Another plan is that the DTD monitor and adopt networking tools to boost the communication channels and feedback mechanism to the general public. To help the public monitor the status of their requests at any given time, the DTD will provide a system that allows and promotes coordination among various departments to ensure that workflows, responsibilities, and accountabilities are properly for tracking purposes.He felt that it is the duty of government officials to encourage people to rise above dire situations. This is why this the best time for government authorities in the country to invest in technology to serve its citizens in a timely manner. Senator Gatchalian stressed that there is no reason to delay the drive to realise the full modernisation of government services to serve Philippine citizens – adequately, efficiently and securely.",https://opengovasia.com/philippine-government-services-going-fully-digital-by-2022/,http://opengovasia.com/wp-content/uploads/2020/09/Article_3_Sept_2020_4-Ph.jpeg
PHL CHED Connect promotes e-learning in the Philippines			,Article has not blurp,"The Commission On Higher Education (CHED) is clear that learning should not stop, even in the middle of an outbreak. And that is what the PHL CHED Connect distance and blended learning Towards this goal, they have launched an interactive platform that gives allows to students, or indeed anyone, wanting to continue their learning journey. The The educational materials range from categories like agriculture, forestry, fishery, architecture, business administration, education, engineering and technology, fine and applied arts, home economics, humanities, IT, criminal justice, and more. The site contains 1,332 modules (content), 1,352 PDFs, 353 videos and 18 HEI contributors. Materials from the academic contributors can easily be downloadable as they are in PDF format.CHED Chairman J. Prospero E. De Vera III said that the initiative in its entirety would not have been possible without the help and guidance from both the international and local education and institutional partners who generously donated or loaned their valuable online resources to the platform.  CHED is still accepting excellent academic content and research papers to ensure continuous and on-going excellence for the e-learning platform.Interested contributors may send in their academic portfolio along with their works for the CHED PHL Connect portal, through a simple process:Lauding the assistance by Globe Telecom of the Philippines, CHED is committed to supporting an e-learning experience for everyone. With free mobile data charges, Both Globe and TM subscribers can have access to the educational platform using their devices.CHED reiterated that the portal will aid students and teachers effectively by allowing access to educational materials anytime, anywhere. It is has been designed to give both the teachers and students confidence while embracing the new normal. Although there are challenges associated with e-learning, a study has Earlier OpenGov Asia reported on a new While many institutions of across the world had already launched e-learning, virtual learning and Massive Open Online Courses (MOOCs), the pandemic has brought about a sense of urgency. Globally almost all secondary and tertiary education institutions have embraced e-learning n abid to continue education and remain operational.The e-learning segment is Already AR/VR has opened up opportunities for trainers to better engage their students through immersive experiences that make learning much more practical, effective and enjoyable. Augmented Reality and Virtual Reality (AR/VR) has been proven to make e-learning more effective and practical.OpenGov Asia also On Septemeber 4, 2020 OpenGov Asia discussed uses of RPA at its ",https://opengovasia.com/phl-ched-connect-promotes-e-learning-in-the-philippines/,http://opengovasia.com/wp-content/uploads/2020/09/Article_4_Sept_2020_3-Ph.png
