category,blurp,imgrul,text,title,url,date
Automation,"A lot has been said about how valuable data is, especially in today’s digital age. However, data alone in its raw, unstructured form won’t be of any use. It must be converted into statistics, charts a",https://cdn.techwireasia.com/wp-content/uploads/2020/03/000_Par7732168-1-897x500.jpg,"A lot has been said about how valuable data is, especially in today’s digital age. However, data alone in its raw, unstructured form won’t be of any use. It must be converted into statistics, charts and graphs that can be analyzed for patterns and trends that can inform the business’s next move.That’s where data’s real power lies.According to a recent This is why over the last few years, businesses have been consistently told that they need to assess, process, analyze and contextualize the data that their operations generate.These businesses are also more likely to launch new products that hit the mark with their audience, putting them a foot ahead of rivals.Data is a critical ingredient in ensuring businesses are able to accurately satisfy market demands, improve products and services effectively, personalize marketing strategies, augment business operations, reduce operational costs, and boost profits.The benefits of acting on as much as the information available are clear, so what are the some of the best approaches to becoming ‘data-driven’?To tap into all these possibilities, enterprise leaders must adopt and practice a data-driven culture across the organization. Investing in hiring the right data talents and having a chief in-command would be a good start.Data must be managed effectively, so having a team that can coordinate such a task would profoundly benefit the enterprise.Leveraging the right analytics tools and business intelligence systems will foster the success of data teams even more. To be data leaders, enterprises shouldn’t shy away from making the right investments – and that also means provisioning some budget to Automating all data-related workflows and processes should also be on the agenda. Data teams can then focus on retrieving as much intelligence and insights as possible to mobilize new product development, coordinate improved marketing strategies and minimize without human errors.Analysts in these teams could also benefit from artificial intelligence (AI) capabilities that could help them process a larger amount of data and accelerate decision-making processes.This then leads to the next move which is to define your data strategies and initiatives.In doing so, enterprises must synchronize efforts with data teams to measure the volume of data that business is generating. Knowing the information assets an enterprise has can really help operations teams identify where they stand with data and the goals that should be achieved within a period of time.Now that the data infrastructure has been established, leaders have to make sure that all operational units are in-tune with the data initiatives.To do that successfully, enterprises must focus on making data dashboards and tools available to the workforce. It’s really important that all teams are able to While it’s not always a walk in the part to win big with data, leading enterprises have proven that with the right strategies and mindset, all is possible. The key is to coordinate efforts with the entire workforce and trust the data.",How are data-driven businesses turning information into revenue?,https://techwireasia.com/2020/03/how-are-data-driven-businesses-turning-informations-into-revenue/,25 March 2020
Automation,"It’s a general and much-touted trend that businesses today are becoming more data-driven. Or in other words, they are acting less on events, hearsay and instinct, and more on the hard information they",https://cdn.techwireasia.com/wp-content/uploads/2020/05/shutterstock_1120296659-897x500.jpg,"It’s a general and much-touted trend that businesses today are becoming more data-driven. Or in other words, they are acting less on events, hearsay and instinct, and more on the hard information they have in front of them. Of course, combing through this vast mass of data – generated, collected and stored across various departments and databases throughout the business – is a key challenge, and one that Business Intelligence tools have sought to solve. Business Intelligence (BI) strategies and technologies have been around for years now; enterprises are no strangers to them, leveraging their power in interpreting big data to uncover insights, and to present business and market forecasts, with the end goal of driving a competitive advantage and long-term success. Put simply, these tools – and their many other offshoots – are enabling businesses and individuals within them to act on the data they have in front of them, every day, across a mass of different uses and applications. Those are strong advantages in ‘peacetime’, but in the midst of a crisis, and looming economic uncertainty, the pluspoints of these tools are now being magnified further. The fact is, most markets are in decline – and will be for an extended, and unknown, length of time. Customers have reduced buying power, and that means businesses must optimize what they have, pushing their now limited resources into where the real opportunities can be seized against equally hungry competitors.Instincts may work to a degree in turbulent times, but utilizing the information available is a much more effective strategy. That seems to explain the findings from Sisense’s As the report goes on to say, it demonstrates the increased importance businesses are placing on “If we’ve learned anything during COVID-19, no matter how tumultuous the economic environment, businesses of all sizes indicate an interest and optimism in their ability to leverage technologies like data analytics to help guide them through critical decision making,” said Howard Dresner, chief research officer of Dresner Advisory Services, told The report continued that BI and analytics are proving as important as ever, but offering “increased clarity in a time of tremendous uncertainty.”Companies are using BI and data in new ways, turning usage to address the most pressing challenges right now. For example, 55 percent of businesses have started utilizing data to improve efficiency, and claim to rely on it to predict changes and outcomes. Interestingly, smaller businesses (those between 51 and 200 employees) are leading the charge and adopting new use cases for their data. They are outpacing larger enterprises in the use of analytics across every department, according to the report. “Robust use of data analytics is no longer simply the mark of an industry leader but a crucial quality for the success and even survival of most companies,” said Amir Orad, CEO of Sisense. “Companies who adopt data-driven decision making separate themselves from the pack. With analytics they find those vital pivot points and thrive versus facing existential danger.” Orad said he was aware of a Fortune 500 company whose revenue had dropped more than 95 percent due to the current crisis, while their analytics usage had shot up by 40 percent – “And this is not a single or unique anecdote.”While businesses are quickly turning to these tools to gain a clearer market strategy, it may also be that they are better utilizing the resources at their disposal as budgets run tighter, and a review of the tools they need will have likely taken place. A commonly-cited challenge with BI and data analytics tools is that, despite being heavy investments, businesses don’t make use of them to their full capacity. Now, businesses are re-evaluating what they have and how they should use it, and they are squeezing more out of their business intelligence tools. And whether that’s for the end goal of improving business efficiency, reducing expenses or better supporting customers, BI tools can be the key to unlocking the data organizations needed to weather this storm, and to keep them thriving long term. ",How business intel is winning over gut-feeling amid a crisis,https://techwireasia.com/2020/06/bi-tools-are-helping-businesses-see-a-clear-picture-in-uncertain-times/,1 June 2020
Automation,"The fintech sector can be broadly viewed as the harnessing of emerging technologies to deliver digitized financial services and applications for both individuals and businesses.In Southeast Asia, wher",https://cdn.techwireasia.com/wp-content/uploads/2020/06/shutterstock_1725317197-897x500.jpg,"The fintech sector can be broadly viewed as the harnessing of emerging technologies to deliver digitized financial services and applications for both individuals and businesses.In Southeast Asia, where The penetration of smartphones has brought the accessibility of the internet to previously disconnected populations in the Southeast Asian region, and fintech startups offering a smorgasbord of services– from money lending to insurance to e-payments– have sprouted up all around the territory to capitalize these new users’ needs.The interest and the potential these services generate are the reason why fintech ‘unicorns’ are some of the As the region continues to progress with advances in connectivity and accessibility, applications of newer technology will take firmer root in Southeast Asia, and many will influence or accelerate the growth of fintech.Tech Wire AsiaUsage of Internet of Things (IoT) Household penetration of smart devices is expected to eclipse 7.5% by 2023 with a promising annual growth rate of 26.7%, and with that growth we should see an increase in support for digital payments and transactions performed via smart devices.There has also been As mentioned, AI’s and ML’s contributions towards recognizing big data patterns and improving computational learning are useful for fintech firms that enable asset management and e-lending services, helping to project efficiency outcomes. Fintech apps like China-based At first glance, However with the Fintech firms might also incorporate AR in how their financial data is presented, supplying data visualization enhancements that will allow their data analysis presentations to stand out from other similar services that display financial data.As digital connectivity evolves in Southeast Asia, higher broadband access and better digital literacy will drive adoption of these technologies in the fintech space. What will be interesting to observe is what other digital trends will begin to impact financial services in the near future.",Three tech trends influencing Asia’s fintech future,https://techwireasia.com/2020/06/three-tech-trends-influencing-asias-fintech-future/,4 June 2020
Automation,"Since data has been established as the new oil, companies have been aggressively investing in ways to collect data from their own workflows and processes as well as along the value chain, right up to ",https://cdn.techwireasia.com/wp-content/uploads/2020/05/shutterstock_754707919-897x500.jpg,"Since data has been established as the new oil, companies have been aggressively investing in ways to collect data from their own workflows and processes as well as along the value chain, right up to the end user or customer.This ‘big data’ is phenomenal and helps organizations change their understanding of the world around them when compared to how they operated in the past.For example, in the past, inventory was a function of sales forecasts which themselves were calculated based on last year’s sales and adjusted for rise or fall in demand. With big data, organizations can factor in other metrics that impact sales, making their forecast more reasonable.So, there’s no doubt that collecting data is helpful. Neglecting to collect or procure data can be quite a disadvantage to most organizations, especially because their competitors have access to it and are constantly looking for creative ways to exploit it for growth.Truth be told, as a result of technologies In the retail industry, for example, smart shelves can help store managers ensure that customers always find the right items, in the right spot, and at the right time. But if consumer packaged goods (CPG) companies tap into this data, they can get more intelligent with their distribution to ensure deliveries are prioritized to stores where demand is high.Using big data in real time creates specific advantages – but the uses cases must be thought through.In the case of the retail industry partnering with CPG players, while sensors on smart shelves collect plenty of data, CPG companies could create a smart workflow with edge computing architecture processing all data to make sure only relevant data is passed on to supply chain managers empowered to handle logistics on the ground.Collecting big data has its advantages, but there’s a cost associated with storing it all (even if it is only archived). Further, if not used quickly, or in real-time, it might not be very useful at all.CPG players collecting data from smart shelves in retail stores get the most out of it only when they process it in real-time.If they process it later, it could help identify trends in demand that correlate with other factors such as season, affluency in a neighborhood, and so on, but is unlikely to have a direct and immediate impact on sales.Further, not every bit of the data might be useful, so organizations that plan to continue collecting data for the foreseeable future need to come up with a plan to assess their data streams and understand which sets need to be saved for the future and which have a short lifespan and must be analyzed immediately and deleted.Real-time big data analytics, in most cases, isn’t hard. It’s limited by the imagination of business leaders and has already provided outsized returns for those willing to go beyond their comfort zone.",The relevance of big data and the importance of real-time access,https://techwireasia.com/2020/05/the-relevance-of-big-data-and-the-importance-of-real-time-access/,27 May 2020
Automation,"Insurtech is evolving rapidly in Asia thanks to Asian startups, whereas till recently startups in this sector were dominated by North American or European players.Recent market moves, combined with ec",https://cdn.techwireasia.com/wp-content/uploads/2020/05/shutterstock_344509427-897x500.jpg,"Insurtech is evolving rapidly in Asia thanks to Asian startups, whereas till recently startups in this sector were dominated by North American or European players.Recent market moves, combined with economically disruptive recent events, are showcasing the new Asia startups that are putting the fear into traditional insurance firms who have been slow to adapt to the digital world. These up-and-coming players are offering digital solutions that reduce friction, whilst offering personalized, data-driven services to increasingly tech-savvy customers all over Asia.Asian insurtech players are taking big steps forward and are in the process of revitalizing a once stuffy industry and looking to grab the attention and business of a new breed of customers.A case in point, Indonesian insurtech startup Qoala Qoala plans to use the funding to build-out its existing team over the next year. Besides providing coverage for five core industries including fintech and logistics, the Qoala app also supports traditional offline insurance channels, which still account for 99 percent of insurance premiums paid in the country and processes over 2 million policies a month since launching in 2019.Insurtech’s innovation doesn’t just lie within technology. Qoala struck up strategic partnerships with partners like Shopee, JD, Grabkios and Grab for merchants, and Pegipegi which used to be the Traveloka app.The meteoric rise of Qoala in a country that is traditionally slow to embrace insurance offerings is emblematic of the Singapore boasts the largest concentration of companies, including insurance plan comparison site Hong Kong has eight startups on its island alone, while insurtech firms based out of Shanghai have thus far secured the most funding, at over US$1.3 billion in total. The pioneer digital insurer in China The relative lack of maturity of the insurance industry in Asia means that many insurtech providers are able to operate and innovate with fewer regulatory controls than would affect them in more mature markets. While Singapore is heavily regulated with over two-thirds of the population insured, insurtech startups in China and India are relatively free of government regulation, but that is changing as startups in those countries show increasing promise and development.Like China in the past, India was majorly under-served in terms of insurance penetration due to the low awareness and limited geographical reach due to the sheer size of the country. The recent uptake of smartphones and internet access has however made it easier to reach prospective customers, even in the most rural areas.Indian e-commerce platform Another Indonesian startup Insurtech firms are overcoming unique challenges in different parts of Asia, be it refining products in Singapore, or reaching previously untapped prospects in Vietnam.In the present climate, the potential reach of insurtech disruption cannot be underestimated. If its ability to succeed in the current tough business climate is an indication, we could expect to see the Asian insurtech industry explode in the years to come.",Why Asia is fertile new ground for the insurtech startup movement,https://techwireasia.com/2020/05/why-asia-is-fertile-new-ground-for-the-insurtech-startup-movement/,1 May 2020
Automation,The growth and iterative evolution of wireless network technologies has fueled the development of many mobile connected applications over the years.This has given rise to not only the smartphone and t,https://cdn.techwireasia.com/wp-content/uploads/2020/04/063_1202771140-897x500.jpg,"The growth and iterative evolution of wireless network technologies has fueled the development of many mobile connected applications over the years.This has given rise to not only the smartphone and tablet, but the impact of this can be felt in numerous sectors from e-commerce, to wearable technology, banking, communications, transportation, navigation… the list is endless.Now with the advent of 5G network capabilities and deployment picking up pace with 5G speeds are said to be a minimum of ten times faster than our current 4G networks, so the list of industries and devices that can benefit from greater connectivity is Connectable smart devices, the Internet of Things (IoT), currently rely on multiple forms of wireless tech to become networked including Wi-Fi and Bluetooth. In the coming years, new reliable, low latency connections that are capable of hyperfast digital data transfers like 5G will change the way many devices, software, and service providers will operate.Mobile industry data researchers at GSMA expect IoT connections to reach 25 billion by 2025, slightly more than double the 2019 figure of 12 billion connections. Furthermore, that growth will be driven in part by the wider availability of 5G speeds worldwide, with 1.8 billion 5G connections estimated by 2025.GSMAGlobalData analysts believeThe scalability and reliability of upcoming high-speed 5G networking means that a host of Consumer applications will also take off in a big way over the next five years, with lesser but still formidable growth expected in sectors ranging from consumer electronics to wearables like smartwatches.",How 5G will drive the commercial growth of Internet of Things,https://techwireasia.com/2020/04/how-5g-will-drive-the-commercial-growth-of-internet-of-things/,24 April 2020
Automation,"About two years ago, Amazon made news when its facial recognition technology Then, Google came under fire for unethically “bribing” people with dark skin tones to be scanned using a phone handed to th",https://cdn.techwireasia.com/wp-content/uploads/2020/04/000_1LI5CF-897x500.jpg,"About two years ago, Amazon made news when its facial recognition technology Then, Google came under fire for unethically “bribing” people with dark skin tones to be scanned using a phone handed to them, under the impressions that it was a Since then, consumers or end-users have been very sensitive and cynical about the use of facial recognition technology as a means of access to services or products – a business application that is increasing in use cases.While the technology has, in some cases, been painted as unethical and unreliable, it does not mean that the capability will stay that way. Like many other digital solutions, they will evolve, improve, mature and eventually be developed without flaw.Despite the concerns, facial recognition can have a lot of beneficial application, whether that’s in biometric security, or improving customer experience with quick, seamless and contactless ID verification or To help organizations and AI architects develop facial recognition capabilities that are systematically ethical and reliable, the World Economic Forum (WEF) has drafted out a The practices, it hopes, can help organizations deliver facial recognition technology that is accountable for the data it collects and is ultimately free of bias.A range of products and solutions are out there, so why use facial recognition?First off, WEF urges businesses considering facial recognition to build a strong business case built to support the use of the technology, and the collection and processing of highly-sensitive personal data.Among questions that the business case must address include: What are the limitations that businesses are facing? How would facial recognition help solve the problem? How can end-users benefit from the technology deployment? What end results are the business trying to achieve?Businesses should use market data analysis and research to support their case.For instance, many airports and airline companies are quickly An organization seeking to launch facial recognition must have a clear idea of the facial features and traits that would make up the data that the technology will collect. Having sample subgroups that represent a fair variety of features would help make up datasets that can be used to train the facial recognition model.In the WEF report, it was stated: “Even when using a pre-trained model, it is important to collect a test dataset, specific to the conditions of use and the characteristics of the end-users, to evaluate the system for unfair biases.”To limit biases that the system might project, organizations must first identify the kind of ‘discrimination’ and ‘miscalculated judgments’ that the system might project in the context of the business case.Making sure that the system accounts for age, gender, race, skin tone and non-standardized facial features are key here. During the training process, it’s very important that the model is tested thoroughly and repeatedly to identify risks of biases.Some ways to improve is to revise the metrics being used to support facial scans data and recognition capabilities. Using high-quality sensors and feeding it with a rich set of data will also help.Before the technology is put in place, organizations must make it a point to deliver all the necessary information to achieve a sense of trust. End-users are mostly concerned about having their face captured and stored as data because they do not know how will organizations will really use it, or how secure it will be.In this case, it is important to maintain transparent. This would mean informing end-users of the role of facial recognition, principles that govern the design and use of the technology – in simple, intelligible terms – and lastly, the policies surrounding the data being collected, used, shared and protected.",Ethical facial recognition? WEF provides pointers for developers,https://techwireasia.com/2020/04/ethical-facial-recognition-wef-provides-some-pointers-for-developers/,6 April 2020
Automation,"Faced by unparalleled challenges as an impact of social distancing measures, a huge portion of the world has been weathering the impact of the pandemic for a couple of months now – there’s really no ‘",https://cdn.techwireasia.com/wp-content/uploads/2020/04/063_1176599836-897x500.jpg,"Faced by unparalleled challenges as an impact of social distancing measures, a huge portion of the world has been weathering the impact of the pandemic for a couple of months now – there’s really no ‘settling down’ in the new business climate because the circumstances are always changing.Chief financial officers (CFOs), for one, are The index revealed a drop in optimism score from 58 in March to 42 in April. John Graham, the director of the survey told In fact, the last time such huge pessimism was recorded was back in 2008 during the Great Recession. Even then, the drop was more gradual.A similar trend of declining optimism was spotted in several other research as well. A PwC However, a week-old The current climate has forced CFOs to transform their operations almost immediately to accommodate remote working conditions. Having the right digital capabilities to support these changes and sustain financial functions across an enterprise has never been more fundamental.Digital maturity and proficiency will come up on top for these executives who have been trying to adapt to changing circumstances by remaining flexible.For those that have digitized their processes and workloads before the crisis, now is a pivotal moment to assess if what was done was ever enough.According to Genpact Chief Digital Officer (CDO), Sanjay Srivastava, this period serves as CFOs’ “first test of digitization,” in the sense that these financial leaders will now know if their transformation pursuits were strategic enough to sustain current operational dynamics.At the most foundational level of digitization, CFOs need to have data capabilities and cloud technology. These digital solutions have come up in discussions more frequently these days, further highlighting the need for a digitized financial function in the first place.Manual processes and workloads cannot thrive in a remote working environment. All forms of information have to be streamlined and recorded as data that can be shared across the financial team. Not to forget, in the absence of travel and face-to-face communication, CFOs have to make sure there is an efficient and secure way to transfer data to suppliers, buyers, partners, frontline managers, and the rest of the workforce.“Everyone is waking up to a dashboard … the old days of going into the office and walking over to a colleague’s desk [to obtain information] is over,” said Srivastava in an interview with This would then be a critical turning point for CFOs and their teams as the nature of their processes and workloads change. The CDO continued, “Old ways of disseminating information are now no longer even possible. As we get more used to the ways of working, it’s unlikely we’ll ever return to the same environment.Having data streamlined would also mean that CFOs are able to pool insights using readily available analytical tools. In such uncertain times, CFOs and financial teams need would desperately need to rely on data analytics and insights to drive better decisions and improve budget planning.“It drives a need for scenario planning and outcome modeling at an almost unprecedented level. Once you have the data, your colleagues’ need for insights and modeling capabilities will grow exponentially.”The It wouldn’t be a surprise if a lot of these financial leaders are finding on-premise infrastructure unfit for remote operations. In fact, from Srivastava’s experience, a lot of CFOs have reported suffering a tremendous decline in productivity as current IT capabilities are unable to support increasing workloads, thus creating greater forms of laggards.Cloud is, without a doubt, not a luxury of the office but instead, a critical component in bolstering the finance function and preparing CFO teams for the future of work.“What makes this kind of technology relevant is the contextual knowledge and understanding of how it can help the finance function. This is the opportunity for CFOs to embrace, and get involved, and define the shape of digital technology.”It shouldn’t have taken a pandemic for CFOs to realize that but that is the reality of the current situation. What’s important now is for CFOs to focus on adopting these foundational digital capabilities to help the company survive more unprecedented circumstances to come.",CFOs could ‘define the shape’ of digital technology in 2020,https://techwireasia.com/2020/04/cfos-could-define-the-shape-of-digital-technology-in-2020/,20 April 2020
Automation,"Retail therapy has been a long-favored pastime for Singapore’s citizens, but physical retail sales took a hit in 2019 for the This downward trend has only been exacerbated by COVID-19 and Singapore’s ",https://cdn.techwireasia.com/wp-content/uploads/2020/05/shutterstock_1210966363-897x500.jpg,"Retail therapy has been a long-favored pastime for Singapore’s citizens, but physical retail sales took a hit in 2019 for the This downward trend has only been exacerbated by COVID-19 and Singapore’s ‘Circuit Breaker’ restriction measures which, like everywhere else, has seen the population moving and staying indoors in droves.Where’s the money going? Online. In fact, popular e-commerce platforms like local hero Shopee, and UK-export Deliveroo were uniquely positioned to help the city state’s traditionally brick-and-mortar businesses capitalize on the opportunity of hungry online shoppers.Via their platforms, they enabled certain businesses to pivot their retail strategies online. After all, consumers still want products for entertainment, work, or for decorating their apartment. Even grocery deliveries are a safer, move convenient option than going to the local mart.All this means that while Singapore’s e-commerce revenue has been Online delivery service Deliveroo told In early March, there was another 50 percent jump in new eateries joining the platform for delivery services.Many of these restaurants are engaging online delivery operations for the first time, thereby opening a new avenue for sales at a time when dine-in revenue is virtually impossible to obtain.Deliveroo even experienced an 80 percent increase in delivery rider applications in March, using data analytics to ascertain the connection between order quantities and having the right number of riders to meet the demand.Popular regional e-retail platform Shopee has likewise seen a surge in traffic to its site, with strong transaction volumes during the same period. And its made efforts to ensure its there to support customers round the clock, while other retailers and platforms may be crumbling under demand.Its ‘Shopee Shop From Home’ marketing campaign reminds consumers that all its service channels, whether it’s calling a hotline, email, or live chatting with a representative, continue to remain active during this time in all its active markets.Both Shopee and Deliveroo claim to be Apps like Deliveroo and Shopee may be seeing a boom in business as a result of the current social distancing measures, and the associated disruption.But at the same time, they are also ensuring that consumers get the goods they need, that purchasing continues to happen, and that many smaller businesses can quickly shift their operations online.",How Singapore’s app economy is bucking a retail slump,https://techwireasia.com/2020/05/how-singapores-app-economy-is-bucking-a-retail-slump-deliveroo/,8 May 2020
category,blurp,imgrul,text,title,url,date
