category,blurp,imgrul,text,title,url,date
Hardware,"A statement by the CEO of Intel was credited for lopping off $US40 billion from the world-leading semiconductor firm’s market value last week, The shock drop came as helmsman Bob Swan said the firm would consider reversing its long-held commitment to inhouse chip design and production, That marks a significant departure from a production process that has served as a competitive differentiator for around 50 years, and comes as the firm begins to lose its grip on the In the conference call that saw Intel’s share price dip by 18% Friday, Swan told analysts that Intel would be prepared to “use somebody else’s process technology” as part of “contingency plans”,“That gives us much more optionality and flexibility",https://cdn.techwireasia.com/wp-content/uploads/2020/07/shutterstock_257899403-897x500.jpg,"A statement by the CEO of Intel was credited for lopping off $US40 billion from the world-leading semiconductor firm’s market value last week. The shock drop came as helmsman Bob Swan said the firm would consider reversing its long-held commitment to inhouse chip design and production. That marks a significant departure from a production process that has served as a competitive differentiator for around 50 years, and comes as the firm begins to lose its grip on the In the conference call that saw Intel’s share price dip by 18% Friday, Swan told analysts that Intel would be prepared to “use somebody else’s process technology” as part of “contingency plans”.“That gives us much more optionality and flexibility. So in the event there is a process slip, we can try something rather than make it all ourselves,” he said.The statement followed confirmation of delays to production processes, that will see the roll-out of its 7-nanometer chip technology backed up by a year, probably more. Intel’s current best technology – 10-nanometer – was supposed to appear in 2017, but is only just creaking its way into wide scale production now.If production of 7-nanometer chips is delayed by 1 – 2 years, Taiwan Semiconductor Manufacturing Co (TSMC) and Samsung would already be fabricating 5-nanometer chops, with higher density and lower energy use.However, since Swan’s words, Taiwan’s TSMC focuses on production alone, and its factories now outperform Intel’s, allowing more direct rivals such as Advanced Micro Devices (AMD) to catch up with Intel on performance.And while TSMC is already providing the likely choice, Intel will be competing with TSMC’s own customers for attention, includingIntel’s announcement – pretty simply, that it’s struggling to produce chips, and the technology it’s working with is already obsolete compared to Asian market rivals – calls into question the United States’ efforts to bring critical manufacturing back to the country, including successful lobbying by US semiconductor technology companies themselves to secure subsidies for chip production on home soil.Two days before Swan’s announcement, the US House of Representatives passed an amendment to the National Defense Authorization Act providing federal subsidies for semiconductor manufacturing.On the amendment, the Semiconductor Industry Association said: “Congress has a strategic opportunity to strengthen US semiconductor manufacturing and research, two crucial drivers of America’s economic strength, national security, and supply chain resilience. Today’s votes are important steps in the right direction and show there is broad, bipartisan support in Congress for bold semiconductor manufacturing incentives and research investments.”Days after Swan said Intel’s plants were not currently up to the task, Intel cut loose chief engineering officer Murthy Renduchintala, the executive in charge of its chip design and manufacturing operations. A statement read that changes were to “accelerate product leadership and improve focus and accountability in process technology execution.”Renduchintala was poached from Qualcomm in February 2016 and put in charge of design, engineering and manufacturing of Intel’s chips, under the firm’s Technology, Systems Architecture and Client Group. That arm will now be split up into multiple teams, all reporting directly to Swan.",Intel outsourcing – US chip stalwart looks to Asian firms for help,https://techwireasia.com/2020/07/intel-outsourcing-us-chip-stalwart-looks-to-asian-firms-for-help/,29 July 2020
Hardware,"An MIT spinout startup called Lightmatter is developing computer processors that use light, rather than electricity, The results could mean greater speeds with lower power consumption,The technology could prove a boon for data centers owned by cloud giants like Amazon and Microsoft, who invest heavily in computer chips to power energy-intensive machine-learning algorithms, More recently, firms have relied on Lightmatter’s chips promise to be faster than current transistor-based chips, including GPUs",https://cdn.techwireasia.com/wp-content/uploads/2020/09/shutterstock_264254672-897x500.jpg,"An MIT spinout startup called Lightmatter is developing computer processors that use light, rather than electricity. The results could mean greater speeds with lower power consumption.The technology could prove a boon for data centers owned by cloud giants like Amazon and Microsoft, who invest heavily in computer chips to power energy-intensive machine-learning algorithms. More recently, firms have relied on Lightmatter’s chips promise to be faster than current transistor-based chips, including GPUs.Using a process known as photonics, the company has developed a processor that works with a special fabric to connect computer components together. Serving the role of wires, tiny structures called ‘wave guides’ redirect light, while silicon photonic chips can turn the light into electrical signals that existing computer systems can interpret.As reported by Photonic computers aren’t a new brainwave. According to “Photonic (or optical) computers have long been considered a holy grail for information processing due to the potential for high bandwidth and low power computation,” read an earlier blog by Lightmatter.“Developing these machines required three decades of technological advancement that Lightmatter is now harnessing to deliver on the promise of highly power-efficient, parallel computation with light.Lightmatter is one of the first companies to present a working optical computing chip tailored for AI workloads in the data center and plans to make its first commercial product available towards the end of 2021.Data centers are forecasts to account for more than 15% of global power use within the next five years. Larger data centers can demand almost a fifth of the output of a conventional coal power plant. Rising energy consumption and cooling costs are not only a vast and growing expense for data center operators but run firmly against environmental commitments, such as carbon-neutrality by 2030 or Lightmatter is pitching its solution to hyper-scale data center operators including Amazon, Facebook, and Google. Among these tech giants, some have gone “way beyond” expressing interest, according to Harris.Founded in 2017 with just 47 employees, Lighmatter has so far received US$33 million in venture funding.",Is photonics the solution for power-hungry data centers?,https://techwireasia.com/2020/09/is-photonics-the-solution-for-power-hungry-data-centers/,11 September 2020
Hardware,"As part of its summer rollout, the FamilyMart convenience store chain (dubbed The robots are created and made by Tokyo-based robotics firm Beginning August, prolific store operator FamilyMart will begin a trial of the Telexistence bots at some of its Tokyo locations as a means to study ways to improve efficiency and reduce operating costs, This is specially pertinent in light of the COVID-19 pandemic and the restrictions it has put on limiting the number of humans gathered at particular locations,If the trial proceeds as expected, FamilyMart expects to roll out robotic store assistants in as many as 20 of its Tokyo outlets, out of 16,600 locations across Japan by 2022, Robots being tapped to automate processesOver time, the system’s The robotics maker also says that programmed retail machines could cost up to ten times more than its hardware alone, and take months to complete,At present, the human controllers can be situated anywhere and can be operated by most people",https://cdn.techwireasia.com/wp-content/uploads/2020/07/shutterstock_1632530653-897x500.jpg,"As part of its summer rollout, the FamilyMart convenience store chain (dubbed The robots are created and made by Tokyo-based robotics firm Beginning August, prolific store operator FamilyMart will begin a trial of the Telexistence bots at some of its Tokyo locations as a means to study ways to improve efficiency and reduce operating costs. This is specially pertinent in light of the COVID-19 pandemic and the restrictions it has put on limiting the number of humans gathered at particular locations.If the trial proceeds as expected, FamilyMart expects to roll out robotic store assistants in as many as 20 of its Tokyo outlets, out of 16,600 locations across Japan by 2022, Robots being tapped to automate processesOver time, the system’s The robotics maker also says that programmed retail machines could cost up to ten times more than its hardware alone, and take months to complete.At present, the human controllers can be situated anywhere and can be operated by most people. Telexistence chief executive Jin Tomioka explained that his company’s technology lets people sense and experience places other than where they are, a concept dubbed “telexistence” by the startup’s co-founder, University of Tokyo professor Susumu Tachi, around forty years ago.“There are about 1.6 million people in Japan, who for various reasons are not active in the workforce,” said Tomohiro Kano, FamilyMart’s general manager in charge of franchise development. In the future, robots either operated by humans or using AI trained on human behavior, could become more prevalent in retail and other industrialized sectors.This would be a boon in countries like rapidly-aging Japan, as well as for operations that have been forced to operate with a lesser number of people due to emergency restrictions, such as with the coronavirus outbreak.Telexistence chief Tomioka says that his firm has been contacted by hotels, restaurants and even gas and oil companies since the emergence of COVID-19 in Japan.Professor Takeo Kanade, an AI and robotics scientist at Carnegie Mellon University who joined Telexistence as an adviser in February, believes that upcoming telexistence robots could also be used in hospitals so doctors could perform operations from remote locations– but that it might take another two decades before before robots can work in people’s homes.“In order for robots to be really usable at home we really have to be able to communicate,” he said. “The fundamental thing that is lacking is knowing how humans behave.”Last month,",Japan’s FamilyMart hedges bets on in-store robots,https://techwireasia.com/2020/07/japans-familymart-hedges-bets-on-in-store-robots/,22 July 2020
Hardware,"Cities around the world are looking to leverage innovative technologies to improve the efficiency of local city services, create healthier urban environments, and to create more sustainable features in areas including transportation, utilities, and public services,These smart city initiatives require collaboration between the private and public sectors in order to be effectively deployed, and to that end, Malaysian digital tech solutions provider Aerodyne Group has agreed a The aim of the partnership? To explore the development of drone technology,In a joint statement released last week, both entities affirmed their mutual dependence on telecommunications technology, but increasingly automation, artificial intelligence (AI), machine learning (ML) and 5G technology, The two groups will be looking to co-develop innovative solutions with potential applications for Aerodyne, which has been With the MoU signing, past Aerodyne applications will also be progressively powered by Celcom",https://cdn.techwireasia.com/wp-content/uploads/2020/07/Aerodyne-Celcom-partnership-897x500.jpg,"Cities around the world are looking to leverage innovative technologies to improve the efficiency of local city services, create healthier urban environments, and to create more sustainable features in areas including transportation, utilities, and public services.These smart city initiatives require collaboration between the private and public sectors in order to be effectively deployed, and to that end, Malaysian digital tech solutions provider Aerodyne Group has agreed a The aim of the partnership? To explore the development of drone technology.In a joint statement released last week, both entities affirmed their mutual dependence on telecommunications technology, but increasingly automation, artificial intelligence (AI), machine learning (ML) and 5G technology. The two groups will be looking to co-develop innovative solutions with potential applications for Aerodyne, which has been With the MoU signing, past Aerodyne applications will also be progressively powered by Celcom.Aerodyne and its working partners will also be able to participate in next-generation research and development in telecommunications technologies being headed up by Celcom’s Celcom has previously invested in Aerodyne, and the new MoU could see Celcom expanding its ecosystem of B2B solutions by adding Aerodyne drone tech as well. Idham Nawawi, the chief executive officer of Celcom Axiata Bhd, said that the company wants to work with a variety of technology partners, especially local startups, as the Malaysian telecom giant aims to become a leading IR4.0 technology adoption enabler.“The affiliation with local technology companies such as Aerodyne is a part of Celcom’s strategy towards stronger digital advocacy to aspiring local digital and technology entrepreneurs.” Nawawi said, adding that the initiative is a continuation to the support provided by Axiata Digital Fund (ADIF).“We hope to develop more similar collaborations to continuously inspire Malaysians technology entrepreneurs and startups into faster adoption of Internet of Things (IoT) and AI solutions, and at the same time contribute to the building of an inclusive local digital ecosystem.”Aerodyne’s AI-driven asset management and data-gathering tech could see immediate adoption in Similarly, the To maximize the efficiencies that the drone technology is capable of, a high speed connection that the likes of 5G can provide will be required. Aerodyne Group’s founder and group chief executive officer, Kamarul A Muhamed said: “We are excited about this strategic partnership with Celcom as our preferred connectivity provider to jointly explore and develop smart solutions using drones by leveraging on 5G technology.”“This will enable drones to transmit high definition footage in real-time,” he continued. “5G’s millisecond latency and data speeds of up to 100 times faster than 4G allows drones to transmit high-quality footage and data to operators on the ground.”",Celcom to co-develop 5G drone tech for smart cities and agritech,https://techwireasia.com/2020/07/celcom-to-co-develop-5g-drone-tech-for-smart-cities-and-agritech/,31 July 2020
Hardware,"As countries attempt to bounce back and find the resiliency to jump-start their economies following ‘the events’ of 2020, Malaysia might already be going through the beginnings of its fiscal resurgence, Thanks to its technology hub in the northern state of Penang, the country’s economic recovery might just outpace its Southeast Asian neighbors,According to the state-funded non-profit investment promotion agencyThat foreign infusion accounted for nearly two-thirds of the country’s total, and InvestPenang pointed out that approved investments in the state were practically double the rate from the previous three months,The Penang’s tech cluster is one of the biggest electronics and electrical manufacturing and assembling hubs in the world, home to a major semiconductor equipment presence in the region",https://cdn.techwireasia.com/wp-content/uploads/2020/08/shutterstock_1068466238-897x474.jpg,"As countries attempt to bounce back and find the resiliency to jump-start their economies following ‘the events’ of 2020, Malaysia might already be going through the beginnings of its fiscal resurgence. Thanks to its technology hub in the northern state of Penang, the country’s economic recovery might just outpace its Southeast Asian neighbors.According to the state-funded non-profit investment promotion agencyThat foreign infusion accounted for nearly two-thirds of the country’s total, and InvestPenang pointed out that approved investments in the state were practically double the rate from the previous three months.The Penang’s tech cluster is one of the biggest electronics and electrical manufacturing and assembling hubs in the world, home to a major semiconductor equipment presence in the region. The state hosts factories owned by the likes of After years of mediocre subsistence, haplessly watching as China overtook global supply routes to become the dominant producer of electronic and electric components, Penang has now seen an incoming investment. In 2019, it hit a historic level, surpassing US$3 billion. The refreshed demand at the time was motivated by the developing Since then, entire industries have been devastated by the virus, and with China at the center of a With Chinese suppliers left out in the lurch, Pentamaster tried to source from other countries like Japan, South Korea, Germany, and Italy to fulfill its uptick in demand– only to find that certain parts were being routed from China, and that these supply chains were in disarray as well.“Even if you source from another country, the other country also depends on China,” said Pentamaster executive chairman Chuah Choon Bin. Pentamaster even tried altering the design of some of its components to accommodate parts from outside China. “We’re able to get supplies but the lead time is long – two to three months from Europe,” Chuah said, compared with the two to three weeks under normal circumstances.Pentamaster’s quandary is emblematic of the issues facing Penang’s semiconductor businesses. Despite the fact that Penang firms saw record sales last year from customers seeking to Analysts and the local industry spotlighted the April-June period as the biggest sales dip, anticipating that this was when existing stockpiles would run out. While many firms warned customers to expect delays, some have seen orders surge as buyers continue to seek suppliers outside of China.Now with pandemic measures easing and economies restarting, orders from non-Chinese suppliers are being renewed in earnest – and that is seeing Penang’s semiconductor trade reinvigorated, providing a healthy bump to the Malaysian economy as well. Joe Devanesan |Malaysia’s gross domestic product numbers is expected to show a contraction after the economy grew a mere 0.7% in Q1 2020, and unemployment has risen to 5.3% – the worst economic showing since 2009, and highest unemployment rate since 1990, respectively. Despite the grim forecast, the buoyancy of Penang’s tech hub hasOther analysts point to the sizable government stimulus package of nearly US$70 billion (equivalent to about 20% of Malaysia’s GDP) to help boost the local economy, but political uncertainty can be an unknown variable in the coming months.Nevertheless, Penang’s opposition-led state government hopes its tech sector can continue its upward trajectory and offer a path to navigate out of the pandemic’s effects. As Chief Minister Chow Kon Yeow said last month, “There are still opportunities for Penang, particularly arising from global supply-chain reconfiguration and the emerging industries that will continue to play important roles in the post-COVID-19 era.” ",The tech haven that’s stimulating Malaysia’s pandemic recovery,https://techwireasia.com/2020/08/the-tech-haven-thats-stimulating-malaysias-pandemic-recovery/,13 August 2020
Hardware,"China’s largest chip maker’s stock tanked 23% after reports that the Trump administration could add the firm to a government trade blacklist,The prospect of a Huawei-like ban was met by Semiconductor Manufacturing International Corporation (SMIC) with “complete shock and perplexity,” A severance would restrict US suppliers from providing it with technology without special permission, SMIC also works with US firms including Qualcomm, Broadcom, and Texas Instruments, among others",https://cdn.techwireasia.com/wp-content/uploads/2020/09/shutterstock_724360186-897x500.jpg,"China’s largest chip maker’s stock tanked 23% after reports that the Trump administration could add the firm to a government trade blacklist.The prospect of a Huawei-like ban was met by Semiconductor Manufacturing International Corporation (SMIC) with “complete shock and perplexity.” A severance would restrict US suppliers from providing it with technology without special permission. SMIC also works with US firms including Qualcomm, Broadcom, and Texas Instruments, among others.The United States trade clash has so far put a shadow over Huawei’s survival and has pushed ByteDance towards a forced sale of the US arm of social media app TikTok.Beijing has announced it is “firmly opposed” to any such action against SMIC and has accused Washington of fabricating national security concerns to break international trade rules.Chinese Foreign Ministry spokesman Zhao Lijian accused the US of “blatant bullying” and urged it to stop “over-stretching the concept of national security to oppress foreign companies.”SMIC operates five chip-making plants in China, and can reportedly create nearly half a million wafers a month. But analysts believe that a US trade ban could threaten its existence, and stall China’s own ambitious technological growth.“If implemented, this will severely undermine SMIC’s ability to advance technologies,” Bernstein analysts said. “As US equipment is indispensable for advanced semiconductor R&D and production, such a restriction, once implemented, effectively allows the US government to decide how fast, or slow, SMIC’s technology progress would be.”With the US accounting for as much as Huawei has been ",The US could ban China’s biggest chipmaker next,https://techwireasia.com/2020/09/the-us-could-ban-chinas-biggest-chipmaker-next/,8 September 2020
Hardware,"The global technology trade war took some unexpected turns as we crossed the midpoint of 2020, Unsurprisingly, the world’s two largest economies — the US and China — are right in the thick of it, firing the latest salvos in aAt the center of it all is the Taiwan Semiconductor Manufacturing Company (TSMC), TSMC might not be a household name like Apple, but semiconductor foundries like TSMC are essential to the production of devices like the ubiquitous iPhone,Semiconductor manufacturing is essential tradecraft, a critical component of high-performance electronics",https://cdn.techwireasia.com/wp-content/uploads/2020/08/000_1WR8UW-897x500.jpg,"The global technology trade war took some unexpected turns as we crossed the midpoint of 2020. Unsurprisingly, the world’s two largest economies — the US and China — are right in the thick of it, firing the latest salvos in aAt the center of it all is the Taiwan Semiconductor Manufacturing Company (TSMC). TSMC might not be a household name like Apple, but semiconductor foundries like TSMC are essential to the production of devices like the ubiquitous iPhone.Semiconductor manufacturing is essential tradecraft, a critical component of high-performance electronics. Found in everything from smartphones to guided missiles. Now, TSMC is basically the Hermès of silicon chip-making, producing high quality, super-advanced microchips at a large production scale.Top electronic brands do not manufacture their own chips but procure them from TSMC, which controls aroundThe latest offensive sees the AmericanTSMC relies on American tech to manufacture its quality chips, and any application for an export license to Huawei and its chip subsidiary HiSilicon would likely be denied, as the US tries to keep 5G technology leader Huawei This prevented TSMC from taking further orders from Huawei, which had been providing 13% of its revenue stream, including making the chips for Huawei’s 5G base stations. Losing its biggest Chinese customer was offset in late July when rival Intel was hit by major manufacturing delays to its 7-nanometer chips production andTSMC’s advanced processing chip business dwarfs nearest rival Samsung’s, and the news of the potential order caused TSMC’s stock to skyrocket by nearly 50% – the knock-on effect to TSMC’s valuation placed it among theThe Taiwan semiconductor trade (including United Microelectronics Corporation which holds around 7.3% of the global market, plus other smaller players) is in a unique position between the crosshairs of the two global superpowers. Long at political loggerheads with China and sometimes an (unofficial) ally of the US, profitable business ties with the two depend on an open trade market.SAMSUNG FOSTERS KOREAN CHIP SUPPLY CHAIN TO END FOREIGN DEPENDENCYThis is especially true for TSMC, which has gone as far asDespite frosty diplomatic relations, TSMC is China’s biggest contract supplier, making chips for the likes of",Taiwan — the unlikely frontier for the global tech arms race,https://techwireasia.com/2020/08/taiwan-the-unlikely-frontier-for-the-global-tech-arms-race/,31 August 2020
Hardware,"Cities across Asia are growing exponentially, and there seems to be no end in sight to the rapid urbanization that is driving city populations up around the world’s largest continent,Large influxes of people migrating from the countryside to urban centers means that road and traffic systems are constantly being tested beyond their limits, and traffic management is a decidedly uphill challenge,The situation has gotten so severe that Asia has a reputation for some of the worst traffic in the world, In fact, the continent accounts for six out of the top 10 most congested cities in the latest year ranking by Dutch location tech specialists In the Indian capital of Delhi, drivers in the sprawling metropolis spend as much as 58% more time stuck in traffic compared to drivers in any other city in the world",https://cdn.techwireasia.com/wp-content/uploads/2020/08/shutterstock_789802633-897x500.jpg,"Cities across Asia are growing exponentially, and there seems to be no end in sight to the rapid urbanization that is driving city populations up around the world’s largest continent.Large influxes of people migrating from the countryside to urban centers means that road and traffic systems are constantly being tested beyond their limits, and traffic management is a decidedly uphill challenge.The situation has gotten so severe that Asia has a reputation for some of the worst traffic in the world. In fact, the continent accounts for six out of the top 10 most congested cities in the latest year ranking by Dutch location tech specialists In the Indian capital of Delhi, drivers in the sprawling metropolis spend as much as 58% more time stuck in traffic compared to drivers in any other city in the world. With the problem only getting worse, city officials have been determined to find a workable solution. That quest led them to a new intelligent traffic management system driven by Intelligent traffic management systems refer to the usage of AI, machine learning, computer vision, sensors, and data analysis tools to collect and analyze traffic data, generate solutions, and apply them to the traffic infrastructure.In Delhi, over 7,500 CCTV cameras, automated traffic lights, and one thousand LED signs carry sensors and cameras that are compiling real-time data on traffic conditions, which the AI processes into Alibaba’s City Brain is perhaps one of the most widely-distributed intelligent traffic management systems in Asia. The AI-powered system is already in deployment in 23 cities in China, as well as in other countries such as Malaysia. Gathering data such as video from intersection cameras and GPS data on the location of cars and buses, the platform crunches information in real-time and coordinates more than 1,000 road signals around the city with the aim of preventing or easing gridlock.In Hangzhou, Alibaba’s base, the thriving metropolis of 7 million people was once ranked fifth among China’s most congested cities but has now dropped to 57th on the list.Speaking to CNN, the company says that after two years of testing, the system appears to have shortened commutes and also helped first respondents by enabling fire trucks and ambulances to halve the amount of time it takes to respond to emergencies.“The cities in China are probably facing more challenges than any other city,” said Wang Jian, chairman of Alibaba’s technology steering committee, who said the technology could pave the way for other smart city applications.Municipalities with smart city aspirations are increasingly turning to AI-driven traffic solutions like this. Saudi Arabia, for instance, has a stated aim to transform into a smart nation as part of its Vision 2030 initiative. One of its major industrial hubs, Yanbu Industrial City, began integrating the AI-powered intelligent traffic management systems from Huawei, which now comprises over 250 high-definition cameras working at 16 major road intersections, supplying high-quality images and videos that feed data for officials to take immediate or planned actions.The Intelligent Traffic Management System (ITMS) pushes AI to the fore, running smart algorithms to automatically identify traffic violations including running red lights, crossing lanes, reverse driving, and lane marking infractions, among others. The response is much faster, running about 100,000 data records and capable of receiving a response within seconds.In addition to improving traffic conditions, ITMS also contributes towards Traffic management systems help to manage traffic and avoid accidents on the road, but they will also enable the traffic-choked cities in Asia to be more prepared to adopt autonomous vehicles which have a significantly less environmental footprint.What’s more, the power of AI that propels a lot of the data analysis of these systems, is also what powers the navigation systems of ride-hailing as well as last-mile delivery operators. Deliveries or order fulfillments that had to be delayed in the past, can now be enhanced significantly as cities around Asia continue taking up such intelligent traffic systems.",AI-powered traffic management is slashing Asia’s congestion problem,https://techwireasia.com/2020/08/ai-powered-traffic-management-is-slashing-asias-congestion-problem/,28 August 2020
Hardware,"2020 has been a tough year for many reasons, and the spike in opportunistic cybercrime has only been a ‘jewel’ in its crown,The work from the home revolution which took place overnight highlighted to us just how unprepared we were to keep a distributed workforce protected, Cybercriminals were lightning fast to emerge and capitalize on the crisis and confusion,Cybersecurity is a complex beast",https://cdn.techwireasia.com/wp-content/uploads/2020/09/shutterstock_1620950983-897x500.jpg,"2020 has been a tough year for many reasons, and the spike in opportunistic cybercrime has only been a ‘jewel’ in its crown.The work from the home revolution which took place overnight highlighted to us just how unprepared we were to keep a distributed workforce protected. Cybercriminals were lightning fast to emerge and capitalize on the crisis and confusion.Cybersecurity is a complex beast. Despite the inch-thick, Teflon-coated plate we place around the IT network, it only takes one hasty click of a rogue phishing link to open a backdoor for cybercriminals to take control.While malware may become more sophisticated and the methods of attackers harder to detect, at present we are playing against a familiar if unrelenting foe; the age of quantum computing will bring a force of adversity of new proportions.“You might think that 2020 has been a rough year for cybersecurity, but we’re only just scratching the surface of what could go wrong,” Dr Ali El Kaafarani, founder of “Add quantum computers into the mix, and the entire foundation of today’s information security will be under threat.”Hard to fathom though it is today, few disagree that quantum computing will be a revolutionary technology.Heading towards a market worth of US$5.8 billion by 2025, every few months we hear of “Quantum computing is the future industry and infrastructure disruptor for organizations looking to use large amounts of data, artificial intelligence, and machine learning to accelerate real-time business intelligence and innovate product development,” according to Heather Wells, the IDC’s senior research analyst of Infrastructure Systems, Platforms, and Technology.Theoretical use cases of the technology span anything concerning large, uncertain systems that need to be simulated, from predicting the financial markets to producing better, cheaper drugs.But as the quantum dawn approaches, conventions challenged include our notions of how we can protect our machines and networks — which, as we know, are regularly proven to be far from airtight. Of particular concern is quantum computing’s potential to eventually break encryption methods, which are used in varying degrees to safeguard data from individual to state level.“The scale of the quantum threat cannot be underestimated,” said Kaafarani. They will have the ability to smash through traditional public-key encryption, threatening the security of all sensitive information, past and present.“Data across cars, planes, medical devices, servers, and countless other devices cannot be secured retrospectively; they must be protected now.”The threat is too severe to ignore, but it’s not being overlooked. In fact, the US National Security AgencyThat process is now in theThe quantum computing cybersecurity threat comes down to the ease of which the technology will likely be able to break through existing methods of encryption. Existing types of encryption revolve around mathematical problems, such as integer factorization and discrete logarithm, which are difficult for classic machines to solve because of their computational limitations. But once quantum computers arrive, they will be able to easily solve those mathematical problems and thus break the most common form of modern encryption — public-key cryptography.“Our team is designing new post-quantum cryptographic solutions for software, hardware, and communications, which go way beyond those encryption methods, using different mathematical fields and principles that offer the complexity necessary to stump even a quantum computer,” said Kaafarani.He added confidence that there are no algorithms that can solve the type of mathematical problems that PQShield is using to build the next generation of public-key cryptography.Quantum computing advances have been incremental to date, but Kaafarani believes there have been notable advances in the last few years that have raise alarm bells for those looking at the application of the technology “as a weapon”.In late 2019, we started to see back and forth between Google and IBM about achieving ‘quantum supremacy’ when it came to performing certain calculations and then we saw the“At this current pace of innovation, it’s not unfeasible that we could see a nation-state or well-capitalized company develop a rudimentary quantum computer within the next decade. We might not know about it, it would be a huge competitive advantage and they might choose to keep it secret,” Kaafarani said.“While different industries have different timelines depending on how long their product life cycles are, it’s fair to say that for data across cars, planes, military vehicles, power stations, satellites, IoT – anything that will last over 10 years — this threat needs to be considered right now.”While with current computers, we lack the practical means to do so due to computational and memory limitations to do so, a malicious actor using a quantum computer could gain access to the secret key corresponding to any public key.An attacker could use that access to forge the signature of a software update and push an update to, say, an engine part and it will not know it’s forged, Kaafarani explained: “This would then enable the bad actor to alter the operations of an aircraft through that part as they wish in secret. That’s also what makes the famous ‘harvest now decrypt later’ attack possible.”It is then vital to act now to ensure a smooth yet secure transition into the powerful quantum era.",The quantum computing cybersecurity threat ‘cannot be underestimated’,https://techwireasia.com/2020/09/the-quantum-computing-cybersecurity-threat-cannot-be-underestimated/,3 September 2020
category,blurp,imgrul,text,title,url,date
